Timestamp,val,discharge_Chilled_Water_Cool_Valve_Cmd_AHU_01_B1,discharge_Fan_Vfd_Speed_Sensor_AHU_01_B1
2023-04-09T19:45:00+04:00 Dubai,18.700069427490234°C,20.844236373901367%,47.38684844970703%
2023-04-09T19:50:00+04:00 Dubai,18.54943084716797°C,19.45228385925293%,47.15810775756836%
2023-04-09T19:55:00+04:00 Dubai,18.400436401367188°C,19.45228385925293%,47.17692565917969%
2023-04-09T20:00:00+04:00 Dubai,18.400436401367188°C,19.45228385925293%,46.96230697631836%
2023-04-09T20:05:00+04:00 Dubai,18.400436401367188°C,19.45228385925293%,46.55834197998047%
2023-04-09T20:10:00+04:00 Dubai,18.400436401367188°C,19.45228385925293%,46.715003967285156%
2023-04-09T20:15:00+04:00 Dubai,18.400436401367188°C,19.45228385925293%,46.56508255004883%
2023-04-09T20:20:00+04:00 Dubai,18.400436401367188°C,19.45228385925293%,46.297950744628906%
2023-04-09T20:25:00+04:00 Dubai,18.400436401367188°C,19.45228385925293%,46.47819519042969%
2023-04-09T20:30:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.40702438354492%
2023-04-09T20:35:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.2037353515625%
2023-04-09T20:40:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.21907424926758%
2023-04-09T20:45:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.380706787109375%
2023-04-09T20:50:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.18118667602539%
2023-04-09T20:55:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.193572998046875%
2023-04-09T21:00:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.15953826904297%
2023-04-09T21:05:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.20356369018555%
2023-04-09T21:10:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.1999397277832%
2023-04-09T21:15:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.125831604003906%
2023-04-09T21:20:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.17457962036133%
2023-04-09T21:25:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,45.75120544433594%
2023-04-09T21:30:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.02393341064453%
2023-04-09T21:35:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,45.707271575927734%
2023-04-09T21:40:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.17493438720703%
2023-04-09T21:45:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,45.69685745239258%
2023-04-09T21:50:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.08626174926758%
2023-04-09T21:55:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,45.705406188964844%
2023-04-09T22:00:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,45.78843688964844%
2023-04-09T22:05:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,45.70330810546875%
2023-04-09T22:10:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,45.73008728027344%
2023-04-09T22:15:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,45.784759521484375%
2023-04-09T22:20:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,45.74846649169922%
2023-04-09T22:25:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,45.69756317138672%
2023-04-09T22:30:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.028141021728516%
2023-04-09T22:35:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.12782669067383%
2023-04-09T22:40:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.15638732910156%
2023-04-09T22:45:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.03517532348633%
2023-04-09T22:50:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,45.68815231323242%
2023-04-09T22:55:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,45.928375244140625%
2023-04-09T23:00:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,45.80677795410156%
2023-04-09T23:05:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,45.697750091552734%
2023-04-09T23:10:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,45.94497299194336%
2023-04-09T23:15:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,45.69388961791992%
2023-04-09T23:20:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.03877639770508%
2023-04-09T23:25:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,45.6973991394043%
2023-04-09T23:30:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.16307830810547%
2023-04-09T23:35:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.00279235839844%
2023-04-09T23:40:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.0872917175293%
2023-04-09T23:45:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,45.750938415527344%
2023-04-09T23:50:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.11665344238281%
2023-04-09T23:55:00+04:00 Dubai,18.250825881958008°C,19.45228385925293%,46.093563079833984%
2023-04-10T00:00:00+04:00 Dubai,19.574604034423828°C,11.966218948364258%,46.148292541503906%
2023-04-10T00:05:00+04:00 Dubai,20.834346771240234°C,17.25998306274414%,46.28765869140625%
2023-04-10T00:10:00+04:00 Dubai,17.68250846862793°C,21.639026641845703%,45.790809631347656%
2023-04-10T00:15:00+04:00 Dubai,17.533733367919922°C,21.639026641845703%,45.71762466430664%
2023-04-10T00:20:00+04:00 Dubai,17.3834285736084°C,20.21485710144043%,45.69339370727539%
2023-04-10T00:25:00+04:00 Dubai,17.3834285736084°C,18.983633041381836%,45.69363784790039%
2023-04-10T00:30:00+04:00 Dubai,17.233692169189453°C,16.640819549560547%,45.6920166015625%
2023-04-10T00:35:00+04:00 Dubai,17.233692169189453°C,15.448408126831055%,45.69706726074219%
2023-04-10T00:40:00+04:00 Dubai,17.85090446472168°C,17.647476196289062%,45.73079299926758%
2023-04-10T00:45:00+04:00 Dubai,18.150375366210938°C,17.647476196289062%,45.6938362121582%
2023-04-10T00:50:00+04:00 Dubai,18.300832748413086°C,17.647476196289062%,46.04453659057617%
2023-04-10T00:55:00+04:00 Dubai,18.300832748413086°C,17.647476196289062%,45.74468231201172%
2023-04-10T01:00:00+04:00 Dubai,18.450727462768555°C,17.647476196289062%,46.02151870727539%
2023-04-10T01:05:00+04:00 Dubai,18.450727462768555°C,18.696853637695312%,45.71345901489258%
2023-04-10T01:10:00+04:00 Dubai,18.60137939453125°C,19.75717544555664%,46.04945755004883%
2023-04-10T01:15:00+04:00 Dubai,18.60137939453125°C,19.75717544555664%,45.711917877197266%
2023-04-10T01:20:00+04:00 Dubai,18.60137939453125°C,20.96139907836914%,46.074668884277344%
2023-04-10T01:25:00+04:00 Dubai,18.450908660888672°C,20.96139907836914%,45.69477844238281%
2023-04-10T01:30:00+04:00 Dubai,18.450908660888672°C,20.96139907836914%,45.6967887878418%
2023-04-10T01:35:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.702056884765625%
2023-04-10T01:40:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.705596923828125%
2023-04-10T01:45:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.69683837890625%
2023-04-10T01:50:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.695316314697266%
2023-04-10T01:55:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.69520568847656%
2023-04-10T02:00:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.69878005981445%
2023-04-10T02:05:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.697933197021484%
2023-04-10T02:10:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,46.00231170654297%
2023-04-10T02:15:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.685951232910156%
2023-04-10T02:20:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,46.05234146118164%
2023-04-10T02:25:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.84244155883789%
2023-04-10T02:30:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,46.079322814941406%
2023-04-10T02:35:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.6874885559082%
2023-04-10T02:40:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,46.01700210571289%
2023-04-10T02:45:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.693748474121094%
2023-04-10T02:50:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.92153549194336%
2023-04-10T02:55:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.773902893066406%
2023-04-10T03:00:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.68864440917969%
2023-04-10T03:05:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.78901290893555%
2023-04-10T03:10:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.68291091918945%
2023-04-10T03:15:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.77963638305664%
2023-04-10T03:20:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.99763488769531%
2023-04-10T03:25:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.741615295410156%
2023-04-10T03:30:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.78966522216797%
2023-04-10T03:35:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.70790481567383%
2023-04-10T03:40:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,46.01475143432617%
2023-04-10T03:45:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.688968658447266%
2023-04-10T03:50:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.69303894042969%
2023-04-10T03:55:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.7215690612793%
2023-04-10T04:00:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,46.10230255126953%
2023-04-10T04:05:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.75428771972656%
2023-04-10T04:10:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.68962478637695%
2023-04-10T04:15:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.69126510620117%
2023-04-10T04:20:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.78547668457031%
2023-04-10T04:25:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.69383239746094%
2023-04-10T04:30:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.7196044921875%
2023-04-10T04:35:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.69095993041992%
2023-04-10T04:40:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,46.13374710083008%
2023-04-10T04:45:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.962581634521484%
2023-04-10T04:50:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.96492004394531%
2023-04-10T04:55:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.68892288208008%
2023-04-10T05:00:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,45.69327926635742%
2023-04-10T05:05:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,46.20427703857422%
2023-04-10T05:10:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,46.188621520996094%
2023-04-10T05:15:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,46.1496467590332%
2023-04-10T05:20:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,46.168418884277344%
2023-04-10T05:25:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,46.20466995239258%
2023-04-10T05:30:00+04:00 Dubai,18.300819396972656°C,20.96139907836914%,46.066627502441406%
2023-04-10T05:35:00+04:00 Dubai,18.152284622192383°C,20.96139907836914%,46.12531661987305%
2023-04-10T05:40:00+04:00 Dubai,18.152284622192383°C,20.96139907836914%,45.89046096801758%
2023-04-10T05:45:00+04:00 Dubai,18.152284622192383°C,20.96139907836914%,46.035160064697266%
2023-04-10T05:50:00+04:00 Dubai,18.152284622192383°C,20.96139907836914%,46.139530181884766%
2023-04-10T05:55:00+04:00 Dubai,18.152284622192383°C,20.96139907836914%,46.08689880371094%
2023-04-10T06:00:00+04:00 Dubai,18.152284622192383°C,20.96139907836914%,45.78409194946289%
2023-04-10T06:05:00+04:00 Dubai,18.152284622192383°C,20.96139907836914%,46.16050720214844%
2023-04-10T06:10:00+04:00 Dubai,18.152284622192383°C,20.96139907836914%,46.11907958984375%
2023-04-10T06:15:00+04:00 Dubai,18.152284622192383°C,20.96139907836914%,46.08359909057617%
2023-04-10T06:20:00+04:00 Dubai,18.152284622192383°C,20.96139907836914%,45.71308517456055%
2023-04-10T06:25:00+04:00 Dubai,18.152284622192383°C,20.96139907836914%,45.70054244995117%
2023-04-10T06:30:00+04:00 Dubai,18.152284622192383°C,20.96139907836914%,45.7121696472168%
2023-04-10T06:35:00+04:00 Dubai,18.152284622192383°C,20.96139907836914%,45.69196701049805%
2023-04-10T06:40:00+04:00 Dubai,18.152284622192383°C,20.96139907836914%,45.696292877197266%
2023-04-10T06:45:00+04:00 Dubai,18.152284622192383°C,20.96139907836914%,45.731285095214844%
2023-04-10T06:50:00+04:00 Dubai,18.152284622192383°C,20.96139907836914%,45.84555435180664%
2023-04-10T06:55:00+04:00 Dubai,18.152284622192383°C,20.96139907836914%,45.69655227661133%
2023-04-10T07:00:00+04:00 Dubai,18.152284622192383°C,20.96139907836914%,45.724979400634766%
2023-04-10T07:05:00+04:00 Dubai,18.45395851135254°C,20.96139907836914%,44.24418640136719%
2023-04-10T07:10:00+04:00 Dubai,18.45395851135254°C,20.96139907836914%,43.887638092041016%
2023-04-10T07:15:00+04:00 Dubai,18.45395851135254°C,20.96139907836914%,44.00242233276367%
2023-04-10T07:20:00+04:00 Dubai,18.45395851135254°C,20.96139907836914%,44.261295318603516%
2023-04-10T07:25:00+04:00 Dubai,18.45395851135254°C,20.96139907836914%,44.74982452392578%
2023-04-10T07:30:00+04:00 Dubai,18.45395851135254°C,22.042402267456055%,44.49708557128906%
2023-04-10T07:35:00+04:00 Dubai,18.45395851135254°C,22.042402267456055%,45.16650390625%
2023-04-10T07:40:00+04:00 Dubai,18.45395851135254°C,22.042402267456055%,44.812522888183594%
2023-04-10T07:45:00+04:00 Dubai,18.604528427124023°C,23.091646194458008%,45.26249313354492%
2023-04-10T07:50:00+04:00 Dubai,18.604528427124023°C,23.091646194458008%,45.89936828613281%
2023-04-10T07:55:00+04:00 Dubai,18.604528427124023°C,24.15913963317871%,46.21842575073242%
2023-04-10T08:00:00+04:00 Dubai,18.604528427124023°C,25.257230758666992%,47.430023193359375%
2023-04-10T08:05:00+04:00 Dubai,18.451662063598633°C,27.603715896606445%,48.46721649169922%
2023-04-10T08:10:00+04:00 Dubai,18.153118133544922°C,25.3209171295166%,49.63090896606445%
2023-04-10T08:15:00+04:00 Dubai,18.153118133544922°C,25.3209171295166%,50.481727600097656%
2023-04-10T08:20:00+04:00 Dubai,18.153118133544922°C,25.3209171295166%,51.51873779296875%
2023-04-10T08:25:00+04:00 Dubai,18.153118133544922°C,25.3209171295166%,52.69939422607422%
2023-04-10T08:30:00+04:00 Dubai,18.303335189819336°C,25.3209171295166%,53.96183395385742%
2023-04-10T08:35:00+04:00 Dubai,18.303335189819336°C,25.3209171295166%,54.982147216796875%
2023-04-10T08:40:00+04:00 Dubai,18.45246124267578°C,25.3209171295166%,56.138755798339844%
2023-04-10T08:45:00+04:00 Dubai,18.601806640625°C,25.3209171295166%,57.56572723388672%
2023-04-10T08:50:00+04:00 Dubai,18.751251220703125°C,28.075542449951172%,59.07677459716797%
2023-04-10T08:55:00+04:00 Dubai,18.751251220703125°C,31.454242706298828%,60.5457649230957%
2023-04-10T09:00:00+04:00 Dubai,18.746673583984375°C,33.87022399902344%,61.988731384277344%
2023-04-10T09:05:00+04:00 Dubai,18.59817123413086°C,31.17388916015625%,63.277496337890625%
2023-04-10T09:10:00+04:00 Dubai,18.59817123413086°C,31.17388916015625%,64.24163818359375%
2023-04-10T09:15:00+04:00 Dubai,18.59817123413086°C,32.224143981933594%,65.07605743408203%
2023-04-10T09:20:00+04:00 Dubai,18.59817123413086°C,32.224143981933594%,65.53421783447266%
2023-04-10T09:25:00+04:00 Dubai,18.59817123413086°C,34.45016860961914%,66.60673522949219%
2023-04-10T09:30:00+04:00 Dubai,18.74786949157715°C,35.68684005737305%,67.04412078857422%
2023-04-10T09:35:00+04:00 Dubai,18.74786949157715°C,38.22153091430664%,67.1661148071289%
2023-04-10T09:40:00+04:00 Dubai,18.292415618896484°C,36.449588775634766%,67.16996765136719%
2023-04-10T09:45:00+04:00 Dubai,18.292415618896484°C,36.449588775634766%,67.1758804321289%
2023-04-10T09:50:00+04:00 Dubai,18.292415618896484°C,36.449588775634766%,67.1700439453125%
2023-04-10T09:55:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,67.18498992919922%
2023-04-10T10:00:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,67.19867706298828%
2023-04-10T10:05:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,67.1685791015625%
2023-04-10T10:10:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,67.16755676269531%
2023-04-10T10:15:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,67.1654052734375%
2023-04-10T10:20:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,67.1685562133789%
2023-04-10T10:25:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,67.17021942138672%
2023-04-10T10:30:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,67.17084503173828%
2023-04-10T10:35:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,67.17086029052734%
2023-04-10T10:40:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,67.16806030273438%
2023-04-10T10:45:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,66.77434539794922%
2023-04-10T10:50:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,66.68937683105469%
2023-04-10T10:55:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,66.68592834472656%
2023-04-10T11:00:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,66.65821075439453%
2023-04-10T11:05:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,66.1557846069336%
2023-04-10T11:10:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,66.1523208618164%
2023-04-10T11:15:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,65.42879486083984%
2023-04-10T11:20:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,64.93428039550781%
2023-04-10T11:25:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,64.46561431884766%
2023-04-10T11:30:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,63.92597961425781%
2023-04-10T11:35:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,63.41145706176758%
2023-04-10T11:40:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,63.06037521362305%
2023-04-10T11:45:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,62.696022033691406%
2023-04-10T11:50:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,61.750980377197266%
2023-04-10T11:55:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,60.86176681518555%
2023-04-10T12:00:00+04:00 Dubai,18.139917373657227°C,36.449588775634766%,60.515262603759766%
2023-04-10T12:05:00+04:00 Dubai,17.991260528564453°C,36.449588775634766%,59.51945495605469%
2023-04-10T12:10:00+04:00 Dubai,17.991260528564453°C,36.449588775634766%,59.02629852294922%
2023-04-10T12:15:00+04:00 Dubai,17.991260528564453°C,36.449588775634766%,58.570796966552734%
2023-04-10T12:20:00+04:00 Dubai,17.841751098632812°C,36.449588775634766%,58.19824981689453%
