ts,DMC Building 1 Data Quality Tests Discharge-Air-Temp-Sensor Copy,DMC Building 1 Data Quality Tests Discharge-Chilled-Water-Cool-Valve-Cmd Copy
2023-06-01T02:30:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T02:35:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T02:40:00+04:00 Dubai,14.245529174804688°C,44.14%
2023-06-01T02:45:00+04:00 Dubai,14.096602439880371°C,44.14%
2023-06-01T02:50:00+04:00 Dubai,14.096602439880371°C,44.14%
2023-06-01T02:55:00+04:00 Dubai,14.096602439880371°C,44.14%
2023-06-01T03:00:00+04:00 Dubai,14.096602439880371°C,44.14%
2023-06-01T03:05:00+04:00 Dubai,14.096602439880371°C,44.14%
2023-06-01T03:10:00+04:00 Dubai,14.256701469421387°C,44.14%
2023-06-01T03:15:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T03:20:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T03:25:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T03:30:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T03:35:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T03:40:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T03:45:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T03:50:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T03:55:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T04:00:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T04:05:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T04:10:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T04:15:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T04:20:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T04:25:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T04:30:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T04:35:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T04:40:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T04:45:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T04:50:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T04:55:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T05:00:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T05:05:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T05:10:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T05:15:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T05:20:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T05:25:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T05:30:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T05:35:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T05:40:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T05:45:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T05:50:00+04:00 Dubai,14.10788345336914°C,44.14%
2023-06-01T05:55:00+04:00 Dubai,13.956506729125977°C,44.14%
2023-06-01T06:00:00+04:00 Dubai,13.956506729125977°C,44.14%
2023-06-01T06:05:00+04:00 Dubai,13.956506729125977°C,44.14%
2023-06-01T06:10:00+04:00 Dubai,13.956506729125977°C,44.14%
2023-06-01T06:15:00+04:00 Dubai,13.956506729125977°C,44.14%
2023-06-01T06:20:00+04:00 Dubai,13.956506729125977°C,44.14%
2023-06-01T06:25:00+04:00 Dubai,13.956506729125977°C,44.14%
2023-06-01T06:30:00+04:00 Dubai,13.956506729125977°C,44.14%
2023-06-01T06:35:00+04:00 Dubai,13.956506729125977°C,44.14%
2023-06-01T06:40:00+04:00 Dubai,13.956506729125977°C,44.14%
2023-06-01T06:45:00+04:00 Dubai,13.956506729125977°C,44.14%
2023-06-01T06:50:00+04:00 Dubai,13.956506729125977°C,44.14%
2023-06-01T06:55:00+04:00 Dubai,14.105406761169434°C,44.14%
2023-06-01T07:00:00+04:00 Dubai,14.105406761169434°C,44.14%
2023-06-01T07:05:00+04:00 Dubai,14.901540756225586°C,47.89%
2023-06-01T07:10:00+04:00 Dubai,15.051982879638672°C,51.00%
2023-06-01T07:15:00+04:00 Dubai,15.051982879638672°C,54.45%
2023-06-01T07:20:00+04:00 Dubai,14.903178215026855°C,54.45%
2023-06-01T07:25:00+04:00 Dubai,14.903178215026855°C,56.67%
2023-06-01T07:30:00+04:00 Dubai,14.75448226928711°C,57.82%
2023-06-01T07:35:00+04:00 Dubai,14.904172897338867°C,60.22%
2023-06-01T07:40:00+04:00 Dubai,15.055098533630371°C,64.73%
2023-06-01T07:45:00+04:00 Dubai,15.204178810119629°C,68.89%
2023-06-01T07:50:00+04:00 Dubai,15.355630874633789°C,73.50%
2023-06-01T07:55:00+04:00 Dubai,15.355630874633789°C,79.91%
2023-06-01T08:00:00+04:00 Dubai,15.355630874633789°C,85.16%
2023-06-01T08:05:00+04:00 Dubai,15.355630874633789°C,91.14%
2023-06-01T08:10:00+04:00 Dubai,15.177947044372559°C,94.13%
2023-06-01T08:15:00+04:00 Dubai,14.68454360961914°C,92.14%
2023-06-01T08:20:00+04:00 Dubai,13.260150909423828°C,86.32%
2023-06-01T08:25:00+04:00 Dubai,12.944777488708496°C,80.43%
2023-06-01T08:30:00+04:00 Dubai,12.944777488708496°C,78.88%
2023-06-01T08:35:00+04:00 Dubai,12.944777488708496°C,75.51%
2023-06-01T08:40:00+04:00 Dubai,12.944777488708496°C,73.35%
2023-06-01T08:45:00+04:00 Dubai,12.944777488708496°C,70.72%
2023-06-01T08:50:00+04:00 Dubai,12.944777488708496°C,69.41%
2023-06-01T08:55:00+04:00 Dubai,13.094948768615723°C,68.28%
2023-06-01T09:00:00+04:00 Dubai,13.094948768615723°C,67.04%
2023-06-01T09:05:00+04:00 Dubai,13.243953704833984°C,67.04%
2023-06-01T09:10:00+04:00 Dubai,13.243953704833984°C,65.89%
2023-06-01T09:15:00+04:00 Dubai,13.393645286560059°C,65.89%
2023-06-01T09:20:00+04:00 Dubai,13.393645286560059°C,65.89%
2023-06-01T09:25:00+04:00 Dubai,13.393645286560059°C,65.89%
2023-06-01T09:30:00+04:00 Dubai,13.393645286560059°C,65.89%
2023-06-01T09:35:00+04:00 Dubai,13.393645286560059°C,65.89%
2023-06-01T09:40:00+04:00 Dubai,13.542815208435059°C,65.89%
2023-06-01T09:45:00+04:00 Dubai,13.542815208435059°C,65.89%
2023-06-01T09:50:00+04:00 Dubai,13.542815208435059°C,65.89%
2023-06-01T09:55:00+04:00 Dubai,13.542815208435059°C,65.89%
2023-06-01T10:00:00+04:00 Dubai,13.542815208435059°C,65.89%
2023-06-01T10:05:00+04:00 Dubai,13.691701889038086°C,65.89%
2023-06-01T10:10:00+04:00 Dubai,13.691701889038086°C,65.89%
2023-06-01T10:15:00+04:00 Dubai,13.691701889038086°C,65.89%
2023-06-01T10:20:00+04:00 Dubai,13.691701889038086°C,65.89%
2023-06-01T10:25:00+04:00 Dubai,13.691701889038086°C,65.89%
2023-06-01T10:30:00+04:00 Dubai,13.691701889038086°C,65.89%
2023-06-01T10:35:00+04:00 Dubai,13.691701889038086°C,65.89%
2023-06-01T10:40:00+04:00 Dubai,13.691701889038086°C,65.89%
2023-06-01T10:45:00+04:00 Dubai,13.691701889038086°C,65.89%
2023-06-01T10:50:00+04:00 Dubai,13.691701889038086°C,65.89%
2023-06-01T10:55:00+04:00 Dubai,13.840753555297852°C,65.89%
2023-06-01T11:00:00+04:00 Dubai,13.840753555297852°C,65.89%
2023-06-01T11:05:00+04:00 Dubai,13.840753555297852°C,65.89%
2023-06-01T11:10:00+04:00 Dubai,13.840753555297852°C,65.89%
2023-06-01T11:15:00+04:00 Dubai,13.840753555297852°C,65.89%
2023-06-01T11:20:00+04:00 Dubai,13.840753555297852°C,65.89%
2023-06-01T11:25:00+04:00 Dubai,13.840753555297852°C,65.89%
2023-06-01T11:30:00+04:00 Dubai,13.840753555297852°C,65.89%
2023-06-01T11:35:00+04:00 Dubai,13.840753555297852°C,65.89%
2023-06-01T11:40:00+04:00 Dubai,13.840753555297852°C,65.89%
2023-06-01T11:45:00+04:00 Dubai,13.840753555297852°C,65.89%
2023-06-01T11:50:00+04:00 Dubai,13.840753555297852°C,65.89%
2023-06-01T11:55:00+04:00 Dubai,13.840753555297852°C,65.89%
2023-06-01T12:00:00+04:00 Dubai,13.840753555297852°C,65.89%
2023-06-01T12:05:00+04:00 Dubai,13.69153881072998°C,65.89%
2023-06-01T12:10:00+04:00 Dubai,13.69153881072998°C,65.89%
2023-06-01T12:15:00+04:00 Dubai,13.69153881072998°C,65.89%
2023-06-01T12:20:00+04:00 Dubai,13.69153881072998°C,65.89%
2023-06-01T12:25:00+04:00 Dubai,13.69153881072998°C,65.89%
2023-06-01T12:30:00+04:00 Dubai,13.69153881072998°C,65.89%
2023-06-01T12:35:00+04:00 Dubai,13.69153881072998°C,65.89%
2023-06-01T12:40:00+04:00 Dubai,13.69153881072998°C,65.89%
2023-06-01T12:45:00+04:00 Dubai,13.69153881072998°C,65.89%
2023-06-01T12:50:00+04:00 Dubai,13.69153881072998°C,65.89%
2023-06-01T12:55:00+04:00 Dubai,13.69153881072998°C,65.89%
2023-06-01T13:00:00+04:00 Dubai,13.69153881072998°C,65.89%
2023-06-01T13:05:00+04:00 Dubai,13.540966033935547°C,65.89%
2023-06-01T13:10:00+04:00 Dubai,13.540966033935547°C,65.89%
2023-06-01T13:15:00+04:00 Dubai,13.540966033935547°C,65.89%
2023-06-01T13:20:00+04:00 Dubai,13.540966033935547°C,65.89%
2023-06-01T13:25:00+04:00 Dubai,13.540966033935547°C,65.89%
2023-06-01T13:30:00+04:00 Dubai,13.540966033935547°C,65.89%
2023-06-01T13:35:00+04:00 Dubai,13.540966033935547°C,65.89%
2023-06-01T13:40:00+04:00 Dubai,13.540966033935547°C,65.89%
2023-06-01T13:45:00+04:00 Dubai,13.540966033935547°C,65.89%
2023-06-01T13:50:00+04:00 Dubai,13.540966033935547°C,65.89%
2023-06-01T13:55:00+04:00 Dubai,13.540966033935547°C,65.89%
2023-06-01T14:00:00+04:00 Dubai,13.540966033935547°C,65.89%
2023-06-01T14:05:00+04:00 Dubai,13.540966033935547°C,65.89%
2023-06-01T14:10:00+04:00 Dubai,13.540966033935547°C,65.89%
2023-06-01T14:15:00+04:00 Dubai,13.540966033935547°C,65.89%
2023-06-01T14:20:00+04:00 Dubai,13.540966033935547°C,65.89%
2023-06-01T14:25:00+04:00 Dubai,13.540966033935547°C,65.89%
2023-06-01T14:30:00+04:00 Dubai,13.540966033935547°C,65.89%
2023-06-01T14:35:00+04:00 Dubai,13.540966033935547°C,65.89%
2023-06-01T14:40:00+04:00 Dubai,13.540966033935547°C,65.89%
2023-06-01T14:45:00+04:00 Dubai,13.540966033935547°C,65.89%
2023-06-01T14:50:00+04:00 Dubai,13.689895629882812°C,65.89%
2023-06-01T14:55:00+04:00 Dubai,13.689895629882812°C,65.89%
2023-06-01T15:00:00+04:00 Dubai,13.689895629882812°C,65.89%
2023-06-01T15:05:00+04:00 Dubai,13.689895629882812°C,65.89%
2023-06-01T15:10:00+04:00 Dubai,13.689895629882812°C,65.89%
2023-06-01T15:15:00+04:00 Dubai,13.689895629882812°C,65.89%
2023-06-01T15:20:00+04:00 Dubai,13.689895629882812°C,65.89%
2023-06-01T15:25:00+04:00 Dubai,13.5394868850708°C,65.89%
2023-06-01T15:30:00+04:00 Dubai,13.5394868850708°C,65.89%
2023-06-01T15:35:00+04:00 Dubai,13.5394868850708°C,65.89%
2023-06-01T15:40:00+04:00 Dubai,13.5394868850708°C,65.89%
2023-06-01T15:45:00+04:00 Dubai,13.5394868850708°C,65.89%
2023-06-01T15:50:00+04:00 Dubai,13.5394868850708°C,65.89%
2023-06-01T15:55:00+04:00 Dubai,13.5394868850708°C,64.84%
2023-06-01T16:00:00+04:00 Dubai,13.5394868850708°C,64.84%
2023-06-01T16:05:00+04:00 Dubai,13.5394868850708°C,64.84%
2023-06-01T16:10:00+04:00 Dubai,13.5394868850708°C,64.84%
2023-06-01T16:15:00+04:00 Dubai,13.389991760253906°C,63.71%
2023-06-01T16:20:00+04:00 Dubai,13.389991760253906°C,63.71%
2023-06-01T16:25:00+04:00 Dubai,13.389991760253906°C,62.69%
2023-06-01T16:30:00+04:00 Dubai,13.538802146911621°C,62.69%
2023-06-01T16:35:00+04:00 Dubai,13.538802146911621°C,62.69%
2023-06-01T16:40:00+04:00 Dubai,13.538802146911621°C,62.69%
2023-06-01T16:45:00+04:00 Dubai,13.538802146911621°C,62.69%
2023-06-01T16:50:00+04:00 Dubai,13.538802146911621°C,62.69%
2023-06-01T16:55:00+04:00 Dubai,13.538802146911621°C,62.69%
2023-06-01T17:00:00+04:00 Dubai,13.538802146911621°C,62.69%
2023-06-01T17:05:00+04:00 Dubai,13.538802146911621°C,62.69%
2023-06-01T17:10:00+04:00 Dubai,13.538802146911621°C,62.69%
2023-06-01T17:15:00+04:00 Dubai,13.538802146911621°C,62.69%
2023-06-01T17:20:00+04:00 Dubai,13.538802146911621°C,62.69%
2023-06-01T17:25:00+04:00 Dubai,13.538802146911621°C,62.69%
2023-06-01T17:30:00+04:00 Dubai,13.538802146911621°C,62.69%
2023-06-01T17:35:00+04:00 Dubai,13.389732360839844°C,60.70%
2023-06-01T17:40:00+04:00 Dubai,13.389732360839844°C,59.57%
2023-06-01T17:45:00+04:00 Dubai,13.389732360839844°C,59.57%
2023-06-01T17:50:00+04:00 Dubai,13.389732360839844°C,58.52%
2023-06-01T17:55:00+04:00 Dubai,13.389732360839844°C,57.30%
2023-06-01T18:00:00+04:00 Dubai,13.389732360839844°C,57.26%
2023-06-01T18:05:00+04:00 Dubai,13.539556503295898°C,57.26%
2023-06-01T18:10:00+04:00 Dubai,13.539556503295898°C,57.26%
2023-06-01T18:15:00+04:00 Dubai,13.539556503295898°C,57.26%
2023-06-01T18:20:00+04:00 Dubai,13.539556503295898°C,57.26%
2023-06-01T18:25:00+04:00 Dubai,13.539556503295898°C,57.26%
2023-06-01T18:30:00+04:00 Dubai,13.539556503295898°C,57.26%
2023-06-01T18:35:00+04:00 Dubai,13.389981269836426°C,57.26%
2023-06-01T18:40:00+04:00 Dubai,13.389981269836426°C,55.10%
2023-06-01T18:45:00+04:00 Dubai,13.389981269836426°C,55.10%
2023-06-01T18:50:00+04:00 Dubai,13.239059448242188°C,52.25%
2023-06-01T18:55:00+04:00 Dubai,13.239059448242188°C,52.25%
2023-06-01T19:00:00+04:00 Dubai,13.239059448242188°C,51.11%
2023-06-01T19:05:00+04:00 Dubai,13.239059448242188°C,48.33%
2023-06-01T19:10:00+04:00 Dubai,13.391104698181152°C,49.56%
2023-06-01T19:15:00+04:00 Dubai,13.541059494018555°C,50.59%
2023-06-01T19:20:00+04:00 Dubai,13.541059494018555°C,50.59%
2023-06-01T19:25:00+04:00 Dubai,13.689854621887207°C,50.59%
2023-06-01T19:30:00+04:00 Dubai,13.998101234436035°C,50.59%
2023-06-01T19:35:00+04:00 Dubai,14.147863388061523°C,50.59%
2023-06-01T19:40:00+04:00 Dubai,13.998970985412598°C,50.59%
2023-06-01T19:45:00+04:00 Dubai,13.850242614746094°C,50.59%
2023-06-01T19:50:00+04:00 Dubai,13.850242614746094°C,50.59%
2023-06-01T19:55:00+04:00 Dubai,13.850242614746094°C,50.59%
2023-06-01T20:00:00+04:00 Dubai,13.850242614746094°C,50.59%
2023-06-01T20:05:00+04:00 Dubai,13.850242614746094°C,50.59%
2023-06-01T20:10:00+04:00 Dubai,13.850242614746094°C,50.59%
2023-06-01T20:15:00+04:00 Dubai,13.850242614746094°C,50.59%
2023-06-01T20:20:00+04:00 Dubai,13.850242614746094°C,50.59%
2023-06-01T20:25:00+04:00 Dubai,13.850242614746094°C,50.59%
2023-06-01T20:30:00+04:00 Dubai,13.701173782348633°C,50.59%
2023-06-01T20:35:00+04:00 Dubai,13.701173782348633°C,50.59%
2023-06-01T20:40:00+04:00 Dubai,13.701173782348633°C,50.59%
2023-06-01T20:45:00+04:00 Dubai,13.701173782348633°C,50.59%
2023-06-01T20:50:00+04:00 Dubai,13.701173782348633°C,50.59%
2023-06-01T20:55:00+04:00 Dubai,13.701173782348633°C,50.59%
2023-06-01T21:00:00+04:00 Dubai,13.552209854125977°C,50.59%
2023-06-01T21:05:00+04:00 Dubai,13.552209854125977°C,50.59%
2023-06-01T21:10:00+04:00 Dubai,13.552209854125977°C,50.59%
2023-06-01T21:15:00+04:00 Dubai,13.552209854125977°C,50.59%
2023-06-01T21:20:00+04:00 Dubai,13.552209854125977°C,50.59%
2023-06-01T21:25:00+04:00 Dubai,13.552209854125977°C,50.59%
2023-06-01T21:30:00+04:00 Dubai,13.552209854125977°C,50.59%
2023-06-01T21:35:00+04:00 Dubai,13.552209854125977°C,50.59%
2023-06-01T21:40:00+04:00 Dubai,13.552209854125977°C,50.59%
2023-06-01T21:45:00+04:00 Dubai,13.552209854125977°C,50.59%
2023-06-01T21:50:00+04:00 Dubai,13.552209854125977°C,49.58%
2023-06-01T21:55:00+04:00 Dubai,13.552209854125977°C,49.58%
2023-06-01T22:00:00+04:00 Dubai,13.552209854125977°C,49.58%
2023-06-01T22:05:00+04:00 Dubai,13.552209854125977°C,49.58%
2023-06-01T22:10:00+04:00 Dubai,13.552209854125977°C,49.58%
2023-06-01T22:15:00+04:00 Dubai,13.552209854125977°C,49.58%
2023-06-01T22:20:00+04:00 Dubai,13.552209854125977°C,49.58%
2023-06-01T22:25:00+04:00 Dubai,13.552209854125977°C,49.58%
2023-06-01T22:30:00+04:00 Dubai,13.552209854125977°C,49.58%
2023-06-01T22:35:00+04:00 Dubai,13.552209854125977°C,49.58%
2023-06-01T22:40:00+04:00 Dubai,13.552209854125977°C,48.57%
2023-06-01T22:45:00+04:00 Dubai,13.552209854125977°C,48.57%
2023-06-01T22:50:00+04:00 Dubai,13.552209854125977°C,48.57%
2023-06-01T22:55:00+04:00 Dubai,13.552209854125977°C,48.57%
2023-06-01T23:00:00+04:00 Dubai,13.552209854125977°C,48.57%
2023-06-01T23:05:00+04:00 Dubai,13.552209854125977°C,48.57%
2023-06-01T23:10:00+04:00 Dubai,13.552209854125977°C,48.57%
2023-06-01T23:15:00+04:00 Dubai,13.552209854125977°C,47.53%
2023-06-01T23:20:00+04:00 Dubai,13.552209854125977°C,47.53%
2023-06-01T23:25:00+04:00 Dubai,13.403045654296875°C,46.46%
2023-06-01T23:30:00+04:00 Dubai,13.403045654296875°C,45.43%
2023-06-01T23:35:00+04:00 Dubai,13.403045654296875°C,44.42%
2023-06-01T23:40:00+04:00 Dubai,13.403045654296875°C,44.42%
2023-06-01T23:45:00+04:00 Dubai,13.552645683288574°C,44.42%
2023-06-01T23:50:00+04:00 Dubai,13.552645683288574°C,44.42%
2023-06-01T23:55:00+04:00 Dubai,13.552645683288574°C,44.42%
2023-06-02T00:00:00+04:00 Dubai,16.44867706298828°C,0%
2023-06-02T00:05:00+04:00 Dubai,17.551910400390625°C,0%
2023-06-02T00:10:00+04:00 Dubai,15.15142822265625°C,31.83%
2023-06-02T00:15:00+04:00 Dubai,15.453139305114746°C,39.10%
2023-06-02T00:20:00+04:00 Dubai,15.142830848693848°C,40.94%
2023-06-02T00:25:00+04:00 Dubai,14.841257095336914°C,39.84%
2023-06-02T00:30:00+04:00 Dubai,14.841257095336914°C,39.84%
2023-06-02T00:35:00+04:00 Dubai,14.690229415893555°C,39.84%
2023-06-02T00:40:00+04:00 Dubai,14.690229415893555°C,39.84%
2023-06-02T00:45:00+04:00 Dubai,14.540297508239746°C,39.84%
2023-06-02T00:50:00+04:00 Dubai,14.540297508239746°C,39.84%
2023-06-02T00:55:00+04:00 Dubai,14.540297508239746°C,40.84%
2023-06-02T01:00:00+04:00 Dubai,14.540297508239746°C,40.84%
2023-06-02T01:05:00+04:00 Dubai,14.540297508239746°C,41.86%
2023-06-02T01:10:00+04:00 Dubai,14.540297508239746°C,41.86%
2023-06-02T01:15:00+04:00 Dubai,14.540297508239746°C,41.86%
2023-06-02T01:20:00+04:00 Dubai,14.540297508239746°C,42.88%
2023-06-02T01:25:00+04:00 Dubai,14.540297508239746°C,42.88%
2023-06-02T01:30:00+04:00 Dubai,14.540297508239746°C,43.92%
2023-06-02T01:35:00+04:00 Dubai,14.540297508239746°C,45.01%
2023-06-02T01:40:00+04:00 Dubai,14.540297508239746°C,45.01%
2023-06-02T01:45:00+04:00 Dubai,14.540297508239746°C,46.19%
2023-06-02T01:50:00+04:00 Dubai,14.241472244262695°C,45.19%
2023-06-02T01:55:00+04:00 Dubai,14.241472244262695°C,45.19%
2023-06-02T02:00:00+04:00 Dubai,14.241472244262695°C,45.19%
2023-06-02T02:05:00+04:00 Dubai,14.241472244262695°C,45.19%
2023-06-02T02:10:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T02:15:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T02:20:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T02:25:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T02:30:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T02:35:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T02:40:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T02:45:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T02:50:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T02:55:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T03:00:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T03:05:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T03:10:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T03:15:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T03:20:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T03:25:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T03:30:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T03:35:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T03:40:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T03:45:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T03:50:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T03:55:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T04:00:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T04:05:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T04:10:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T04:15:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T04:20:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T04:25:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T04:30:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T04:35:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T04:40:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T04:45:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T04:50:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T04:55:00+04:00 Dubai,14.090461730957031°C,45.19%
2023-06-02T05:00:00+04:00 Dubai,14.240372657775879°C,45.19%
2023-06-02T05:05:00+04:00 Dubai,14.39138412475586°C,45.19%
2023-06-02T05:10:00+04:00 Dubai,14.39138412475586°C,45.19%
2023-06-02T05:15:00+04:00 Dubai,14.2412691116333°C,45.19%
2023-06-02T05:20:00+04:00 Dubai,14.2412691116333°C,45.19%
2023-06-02T05:25:00+04:00 Dubai,14.2412691116333°C,45.19%
2023-06-02T05:30:00+04:00 Dubai,14.2412691116333°C,45.19%
2023-06-02T05:35:00+04:00 Dubai,14.2412691116333°C,45.19%
2023-06-02T05:40:00+04:00 Dubai,14.2412691116333°C,45.19%
2023-06-02T05:45:00+04:00 Dubai,14.2412691116333°C,45.19%
2023-06-02T05:50:00+04:00 Dubai,14.2412691116333°C,45.19%
2023-06-02T05:55:00+04:00 Dubai,14.2412691116333°C,45.19%
2023-06-02T06:00:00+04:00 Dubai,14.2412691116333°C,45.19%
2023-06-02T06:05:00+04:00 Dubai,14.2412691116333°C,45.19%
2023-06-02T06:10:00+04:00 Dubai,14.2412691116333°C,45.19%
2023-06-02T06:15:00+04:00 Dubai,14.2412691116333°C,45.19%
2023-06-02T06:20:00+04:00 Dubai,14.2412691116333°C,45.19%
2023-06-02T06:25:00+04:00 Dubai,14.2412691116333°C,45.19%
2023-06-02T06:30:00+04:00 Dubai,14.392396926879883°C,45.19%
2023-06-02T06:35:00+04:00 Dubai,14.542169570922852°C,45.19%
2023-06-02T06:40:00+04:00 Dubai,14.542169570922852°C,47.23%
2023-06-02T06:45:00+04:00 Dubai,14.691641807556152°C,48.35%
2023-06-02T06:50:00+04:00 Dubai,14.691641807556152°C,50.59%
2023-06-02T06:55:00+04:00 Dubai,14.691641807556152°C,49.49%
2023-06-02T07:00:00+04:00 Dubai,14.691641807556152°C,49.49%
2023-06-02T07:05:00+04:00 Dubai,15.00964069366455°C,56.29%
