ts,DMC Building 1 Data Quality Tests Dup of AHU_04_B1 Return Air Temp,DMC Building 1 Data Quality Tests New-Point
2023-03-08T05:05:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T05:10:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T05:15:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T05:20:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T05:25:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T05:30:00+04:00 Dubai,23.224395751953125°C,31.79380226135254%
2023-03-08T05:35:00+04:00 Dubai,23.37310028076172°C,31.79380226135254%
2023-03-08T05:40:00+04:00 Dubai,23.37310028076172°C,31.79380226135254%
2023-03-08T05:45:00+04:00 Dubai,23.37310028076172°C,31.79380226135254%
2023-03-08T05:50:00+04:00 Dubai,23.37310028076172°C,31.79380226135254%
2023-03-08T05:55:00+04:00 Dubai,23.523386001586914°C,31.79380226135254%
2023-03-08T06:00:00+04:00 Dubai,23.523386001586914°C,31.79380226135254%
2023-03-08T06:05:00+04:00 Dubai,23.523386001586914°C,31.79380226135254%
2023-03-08T06:10:00+04:00 Dubai,23.523386001586914°C,31.79380226135254%
2023-03-08T06:15:00+04:00 Dubai,23.523386001586914°C,31.79380226135254%
2023-03-08T06:20:00+04:00 Dubai,23.523386001586914°C,31.79380226135254%
2023-03-08T06:25:00+04:00 Dubai,23.523386001586914°C,31.79380226135254%
2023-03-08T06:30:00+04:00 Dubai,23.374847412109375°C,31.79380226135254%
2023-03-08T06:35:00+04:00 Dubai,23.374847412109375°C,31.79380226135254%
2023-03-08T06:40:00+04:00 Dubai,23.374847412109375°C,31.79380226135254%
2023-03-08T06:45:00+04:00 Dubai,23.374847412109375°C,31.79380226135254%
2023-03-08T06:50:00+04:00 Dubai,23.374847412109375°C,31.79380226135254%
2023-03-08T06:55:00+04:00 Dubai,23.374847412109375°C,31.79380226135254%
2023-03-08T07:00:00+04:00 Dubai,23.374847412109375°C,31.79380226135254%
2023-03-08T07:05:00+04:00 Dubai,23.374847412109375°C,31.79380226135254%
2023-03-08T07:10:00+04:00 Dubai,23.374847412109375°C,31.79380226135254%
2023-03-08T07:15:00+04:00 Dubai,23.374847412109375°C,31.79380226135254%
2023-03-08T07:20:00+04:00 Dubai,23.374847412109375°C,31.79380226135254%
2023-03-08T07:25:00+04:00 Dubai,23.374847412109375°C,31.79380226135254%
2023-03-08T07:30:00+04:00 Dubai,23.374847412109375°C,31.79380226135254%
2023-03-08T07:35:00+04:00 Dubai,23.374847412109375°C,31.79380226135254%
2023-03-08T07:40:00+04:00 Dubai,23.374847412109375°C,31.79380226135254%
2023-03-08T07:45:00+04:00 Dubai,23.374847412109375°C,31.79380226135254%
2023-03-08T07:50:00+04:00 Dubai,23.374847412109375°C,31.79380226135254%
2023-03-08T07:55:00+04:00 Dubai,23.374847412109375°C,31.79380226135254%
2023-03-08T08:00:00+04:00 Dubai,23.374847412109375°C,32.888633728027344%
2023-03-08T08:05:00+04:00 Dubai,23.525197982788086°C,33.982791900634766%
2023-03-08T08:10:00+04:00 Dubai,23.525197982788086°C,35.217254638671875%
2023-03-08T08:15:00+04:00 Dubai,23.525197982788086°C,36.528831481933594%
2023-03-08T08:20:00+04:00 Dubai,23.525197982788086°C,35.02826690673828%
2023-03-08T08:25:00+04:00 Dubai,23.67486000061035°C,35.02826690673828%
2023-03-08T08:30:00+04:00 Dubai,23.67486000061035°C,35.02826690673828%
2023-03-08T08:35:00+04:00 Dubai,23.67486000061035°C,35.02826690673828%
2023-03-08T08:40:00+04:00 Dubai,23.67486000061035°C,35.02826690673828%
2023-03-08T08:45:00+04:00 Dubai,23.67486000061035°C,35.02826690673828%
2023-03-08T08:50:00+04:00 Dubai,23.823959350585938°C,36.179161071777344%
2023-03-08T08:55:00+04:00 Dubai,23.823959350585938°C,38.446510314941406%
2023-03-08T09:00:00+04:00 Dubai,23.823959350585938°C,39.71562957763672%
2023-03-08T09:05:00+04:00 Dubai,23.823959350585938°C,39.74104690551758%
2023-03-08T09:10:00+04:00 Dubai,23.823959350585938°C,39.74104690551758%
2023-03-08T09:15:00+04:00 Dubai,23.972896575927734°C,39.74104690551758%
2023-03-08T09:20:00+04:00 Dubai,23.972896575927734°C,39.74104690551758%
2023-03-08T09:25:00+04:00 Dubai,23.972896575927734°C,39.74104690551758%
2023-03-08T09:30:00+04:00 Dubai,24.121675491333008°C,39.74104690551758%
2023-03-08T09:35:00+04:00 Dubai,24.121675491333008°C,39.74104690551758%
2023-03-08T09:40:00+04:00 Dubai,24.121675491333008°C,39.74104690551758%
2023-03-08T09:45:00+04:00 Dubai,24.121675491333008°C,40.76781463623047%
2023-03-08T09:50:00+04:00 Dubai,24.121675491333008°C,43.33234786987305%
2023-03-08T09:55:00+04:00 Dubai,24.121675491333008°C,44.81675720214844%
2023-03-08T10:00:00+04:00 Dubai,24.121675491333008°C,43.740142822265625%
2023-03-08T10:05:00+04:00 Dubai,24.121675491333008°C,43.740142822265625%
2023-03-08T10:10:00+04:00 Dubai,24.121675491333008°C,44.92357635498047%
2023-03-08T10:15:00+04:00 Dubai,24.121675491333008°C,46.180641174316406%
2023-03-08T10:20:00+04:00 Dubai,24.27035140991211°C,48.591976165771484%
2023-03-08T10:25:00+04:00 Dubai,24.27035140991211°C,49.96672058105469%
2023-03-08T10:30:00+04:00 Dubai,24.27035140991211°C,48.55448532104492%
2023-03-08T10:35:00+04:00 Dubai,24.27035140991211°C,48.55448532104492%
2023-03-08T10:40:00+04:00 Dubai,24.27035140991211°C,48.55448532104492%
2023-03-08T10:45:00+04:00 Dubai,24.27035140991211°C,48.55448532104492%
2023-03-08T10:50:00+04:00 Dubai,24.27035140991211°C,48.55448532104492%
2023-03-08T10:55:00+04:00 Dubai,24.27035140991211°C,48.55448532104492%
2023-03-08T11:00:00+04:00 Dubai,24.4200382232666°C,48.55448532104492%
2023-03-08T11:05:00+04:00 Dubai,24.4200382232666°C,48.55448532104492%
2023-03-08T11:10:00+04:00 Dubai,24.4200382232666°C,48.55448532104492%
2023-03-08T11:15:00+04:00 Dubai,24.4200382232666°C,48.55448532104492%
2023-03-08T11:20:00+04:00 Dubai,24.4200382232666°C,48.55448532104492%
2023-03-08T11:25:00+04:00 Dubai,24.4200382232666°C,48.55448532104492%
2023-03-08T11:30:00+04:00 Dubai,24.4200382232666°C,48.55448532104492%
2023-03-08T11:35:00+04:00 Dubai,24.4200382232666°C,48.55448532104492%
2023-03-08T11:40:00+04:00 Dubai,24.4200382232666°C,48.55448532104492%
2023-03-08T11:45:00+04:00 Dubai,24.4200382232666°C,48.55448532104492%
2023-03-08T11:50:00+04:00 Dubai,24.271451950073242°C,48.55448532104492%
2023-03-08T11:55:00+04:00 Dubai,24.271451950073242°C,48.55448532104492%
2023-03-08T12:00:00+04:00 Dubai,24.271451950073242°C,48.55448532104492%
2023-03-08T12:05:00+04:00 Dubai,24.271451950073242°C,48.55448532104492%
2023-03-08T12:10:00+04:00 Dubai,24.271451950073242°C,48.55448532104492%
2023-03-08T12:15:00+04:00 Dubai,24.271451950073242°C,48.55448532104492%
2023-03-08T12:20:00+04:00 Dubai,24.271451950073242°C,48.55448532104492%
2023-03-08T12:25:00+04:00 Dubai,24.122512817382812°C,47.52101135253906%
2023-03-08T12:30:00+04:00 Dubai,24.122512817382812°C,46.487815856933594%
2023-03-08T12:35:00+04:00 Dubai,24.122512817382812°C,46.487815856933594%
2023-03-08T12:40:00+04:00 Dubai,24.122512817382812°C,46.487815856933594%
2023-03-08T12:45:00+04:00 Dubai,24.122512817382812°C,46.487815856933594%
2023-03-08T12:50:00+04:00 Dubai,24.122512817382812°C,46.487815856933594%
2023-03-08T12:55:00+04:00 Dubai,24.122512817382812°C,46.487815856933594%
2023-03-08T13:00:00+04:00 Dubai,24.27130126953125°C,46.487815856933594%
2023-03-08T13:05:00+04:00 Dubai,24.27130126953125°C,46.487815856933594%
2023-03-08T13:10:00+04:00 Dubai,24.27130126953125°C,46.487815856933594%
2023-03-08T13:15:00+04:00 Dubai,24.27130126953125°C,46.487815856933594%
2023-03-08T13:20:00+04:00 Dubai,24.27130126953125°C,46.487815856933594%
2023-03-08T13:25:00+04:00 Dubai,24.27130126953125°C,46.487815856933594%
2023-03-08T13:30:00+04:00 Dubai,24.27130126953125°C,46.487815856933594%
2023-03-08T13:35:00+04:00 Dubai,24.27130126953125°C,46.487815856933594%
2023-03-08T13:40:00+04:00 Dubai,24.27130126953125°C,46.487815856933594%
2023-03-08T13:45:00+04:00 Dubai,24.27130126953125°C,46.487815856933594%
2023-03-08T13:50:00+04:00 Dubai,24.27130126953125°C,46.487815856933594%
2023-03-08T13:55:00+04:00 Dubai,24.27130126953125°C,46.487815856933594%
2023-03-08T14:00:00+04:00 Dubai,24.27130126953125°C,46.487815856933594%
2023-03-08T14:05:00+04:00 Dubai,24.421180725097656°C,46.487815856933594%
2023-03-08T14:10:00+04:00 Dubai,24.421180725097656°C,46.487815856933594%
2023-03-08T14:15:00+04:00 Dubai,24.421180725097656°C,46.487815856933594%
2023-03-08T14:20:00+04:00 Dubai,24.421180725097656°C,46.487815856933594%
2023-03-08T14:25:00+04:00 Dubai,24.421180725097656°C,46.487815856933594%
2023-03-08T14:30:00+04:00 Dubai,24.421180725097656°C,46.487815856933594%
2023-03-08T14:35:00+04:00 Dubai,24.421180725097656°C,46.487815856933594%
2023-03-08T14:40:00+04:00 Dubai,24.421180725097656°C,45.335426330566406%
2023-03-08T14:45:00+04:00 Dubai,24.421180725097656°C,44.10719680786133%
2023-03-08T14:50:00+04:00 Dubai,24.421180725097656°C,44.10719680786133%
2023-03-08T14:55:00+04:00 Dubai,24.421180725097656°C,43.104679107666016%
2023-03-08T15:00:00+04:00 Dubai,24.421180725097656°C,43.51503372192383%
2023-03-08T15:05:00+04:00 Dubai,24.421180725097656°C,43.51503372192383%
2023-03-08T15:10:00+04:00 Dubai,24.421180725097656°C,43.51503372192383%
2023-03-08T15:15:00+04:00 Dubai,24.421180725097656°C,43.51503372192383%
2023-03-08T15:20:00+04:00 Dubai,24.421180725097656°C,43.51503372192383%
2023-03-08T15:25:00+04:00 Dubai,24.421180725097656°C,42.353355407714844%
2023-03-08T15:30:00+04:00 Dubai,24.421180725097656°C,42.353355407714844%
2023-03-08T15:35:00+04:00 Dubai,24.421180725097656°C,42.353355407714844%
2023-03-08T15:40:00+04:00 Dubai,24.421180725097656°C,41.32160186767578%
2023-03-08T15:45:00+04:00 Dubai,24.421180725097656°C,41.32160186767578%
2023-03-08T15:50:00+04:00 Dubai,24.421180725097656°C,41.32160186767578%
2023-03-08T15:55:00+04:00 Dubai,24.421180725097656°C,41.32160186767578%
2023-03-08T16:00:00+04:00 Dubai,24.421180725097656°C,40.01506042480469%
2023-03-08T16:05:00+04:00 Dubai,24.421180725097656°C,40.01506042480469%
2023-03-08T16:10:00+04:00 Dubai,24.421180725097656°C,38.954139709472656%
2023-03-08T16:15:00+04:00 Dubai,24.421180725097656°C,37.93327331542969%
2023-03-08T16:20:00+04:00 Dubai,24.421180725097656°C,37.93327331542969%
2023-03-08T16:25:00+04:00 Dubai,24.421180725097656°C,37.93327331542969%
2023-03-08T16:30:00+04:00 Dubai,24.421180725097656°C,37.93327331542969%
2023-03-08T16:35:00+04:00 Dubai,24.421180725097656°C,37.93327331542969%
2023-03-08T16:40:00+04:00 Dubai,24.421180725097656°C,37.93327331542969%
2023-03-08T16:45:00+04:00 Dubai,24.421180725097656°C,37.93327331542969%
2023-03-08T16:50:00+04:00 Dubai,24.421180725097656°C,37.93327331542969%
2023-03-08T16:55:00+04:00 Dubai,24.421180725097656°C,37.93327331542969%
2023-03-08T17:00:00+04:00 Dubai,24.421180725097656°C,37.93327331542969%
2023-03-08T17:05:00+04:00 Dubai,24.421180725097656°C,39.223854064941406%
2023-03-08T17:10:00+04:00 Dubai,24.421180725097656°C,40.28809356689453%
2023-03-08T17:15:00+04:00 Dubai,24.421180725097656°C,40.28809356689453%
2023-03-08T17:20:00+04:00 Dubai,24.421180725097656°C,41.341922760009766%
2023-03-08T17:25:00+04:00 Dubai,24.421180725097656°C,41.341922760009766%
2023-03-08T17:30:00+04:00 Dubai,24.421180725097656°C,41.341922760009766%
2023-03-08T17:35:00+04:00 Dubai,24.421180725097656°C,41.341922760009766%
2023-03-08T17:40:00+04:00 Dubai,24.421180725097656°C,41.341922760009766%
2023-03-08T17:45:00+04:00 Dubai,24.272642135620117°C,41.341922760009766%
2023-03-08T17:50:00+04:00 Dubai,24.272642135620117°C,41.341922760009766%
2023-03-08T17:55:00+04:00 Dubai,24.272642135620117°C,41.341922760009766%
2023-03-08T18:00:00+04:00 Dubai,24.272642135620117°C,41.341922760009766%
2023-03-08T18:05:00+04:00 Dubai,24.12392807006836°C,41.341922760009766%
2023-03-08T18:10:00+04:00 Dubai,24.12392807006836°C,41.341922760009766%
2023-03-08T18:15:00+04:00 Dubai,24.12392807006836°C,41.341922760009766%
2023-03-08T18:20:00+04:00 Dubai,23.973649978637695°C,41.341922760009766%
2023-03-08T18:25:00+04:00 Dubai,23.973649978637695°C,41.341922760009766%
2023-03-08T18:30:00+04:00 Dubai,23.973649978637695°C,41.341922760009766%
2023-03-08T18:35:00+04:00 Dubai,23.973649978637695°C,41.341922760009766%
2023-03-08T18:40:00+04:00 Dubai,23.973649978637695°C,40.326988220214844%
2023-03-08T18:45:00+04:00 Dubai,23.973649978637695°C,39.077423095703125%
2023-03-08T18:50:00+04:00 Dubai,23.973649978637695°C,37.94749450683594%
2023-03-08T18:55:00+04:00 Dubai,23.973649978637695°C,35.697418212890625%
2023-03-08T19:00:00+04:00 Dubai,23.973649978637695°C,34.55261993408203%
2023-03-08T19:05:00+04:00 Dubai,23.973649978637695°C,32.33103942871094%
2023-03-08T19:10:00+04:00 Dubai,23.824514389038086°C,34.19395446777344%
2023-03-08T19:15:00+04:00 Dubai,23.824514389038086°C,34.19395446777344%
2023-03-08T19:20:00+04:00 Dubai,23.824514389038086°C,34.19395446777344%
2023-03-08T19:25:00+04:00 Dubai,23.824514389038086°C,34.19395446777344%
2023-03-08T19:30:00+04:00 Dubai,23.824514389038086°C,34.19395446777344%
2023-03-08T19:35:00+04:00 Dubai,23.824514389038086°C,34.19395446777344%
2023-03-08T19:40:00+04:00 Dubai,23.824514389038086°C,34.19395446777344%
2023-03-08T19:45:00+04:00 Dubai,23.824514389038086°C,34.19395446777344%
2023-03-08T19:50:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T19:55:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T20:00:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T20:05:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T20:10:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T20:15:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T20:20:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T20:25:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T20:30:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T20:35:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T20:40:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T20:45:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T20:50:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T20:55:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T21:00:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T21:05:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T21:10:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T21:15:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T21:20:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T21:25:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T21:30:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T21:35:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T21:40:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T21:45:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T21:50:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T21:55:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T22:00:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T22:05:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T22:10:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T22:15:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T22:20:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T22:25:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T22:30:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T22:35:00+04:00 Dubai,23.675134658813477°C,34.19395446777344%
2023-03-08T22:40:00+04:00 Dubai,23.824047088623047°C,34.19395446777344%
2023-03-08T22:45:00+04:00 Dubai,23.824047088623047°C,34.19395446777344%
2023-03-08T22:50:00+04:00 Dubai,23.824047088623047°C,34.19395446777344%
2023-03-08T22:55:00+04:00 Dubai,23.824047088623047°C,34.19395446777344%
2023-03-08T23:00:00+04:00 Dubai,23.824047088623047°C,34.19395446777344%
2023-03-08T23:05:00+04:00 Dubai,23.824047088623047°C,34.19395446777344%
2023-03-08T23:10:00+04:00 Dubai,23.824047088623047°C,34.19395446777344%
2023-03-08T23:15:00+04:00 Dubai,23.824047088623047°C,34.19395446777344%
2023-03-08T23:20:00+04:00 Dubai,23.824047088623047°C,34.19395446777344%
2023-03-08T23:25:00+04:00 Dubai,23.824047088623047°C,34.19395446777344%
2023-03-08T23:30:00+04:00 Dubai,23.824047088623047°C,34.19395446777344%
2023-03-08T23:35:00+04:00 Dubai,23.824047088623047°C,34.19395446777344%
2023-03-08T23:40:00+04:00 Dubai,23.824047088623047°C,34.19395446777344%
2023-03-08T23:45:00+04:00 Dubai,23.824047088623047°C,34.19395446777344%
2023-03-08T23:50:00+04:00 Dubai,23.824047088623047°C,34.19395446777344%
2023-03-08T23:55:00+04:00 Dubai,23.824047088623047°C,34.19395446777344%
2023-03-09T00:00:00+04:00 Dubai,23.824047088623047°C,0%
2023-03-09T00:05:00+04:00 Dubai,23.824047088623047°C,6.365875244140625%
2023-03-09T00:10:00+04:00 Dubai,23.824047088623047°C,23.839935302734375%
2023-03-09T00:15:00+04:00 Dubai,23.824047088623047°C,27.219114303588867%
2023-03-09T00:20:00+04:00 Dubai,23.824047088623047°C,29.699647903442383%
2023-03-09T00:25:00+04:00 Dubai,23.824047088623047°C,31.056339263916016%
2023-03-09T00:30:00+04:00 Dubai,23.824047088623047°C,32.078765869140625%
2023-03-09T00:35:00+04:00 Dubai,23.824047088623047°C,33.33137893676758%
2023-03-09T00:40:00+04:00 Dubai,23.824047088623047°C,34.32501983642578%
2023-03-09T00:45:00+04:00 Dubai,23.824047088623047°C,35.47145080566406%
2023-03-09T00:50:00+04:00 Dubai,23.824047088623047°C,35.33606719970703%
2023-03-09T00:55:00+04:00 Dubai,23.824047088623047°C,35.33606719970703%
2023-03-09T01:00:00+04:00 Dubai,23.824047088623047°C,35.33606719970703%
2023-03-09T01:05:00+04:00 Dubai,23.824047088623047°C,35.33606719970703%
2023-03-09T01:10:00+04:00 Dubai,23.824047088623047°C,35.33606719970703%
