Timestamp,val,discharge_Chilled_Water_Cool_Valve_Cmd_AHU_01_B1,discharge_Fan_Vfd_Speed_Sensor_AHU_01_B1
2023-03-02T16:40:00+04:00 Dubai,23.959514617919922°C,41.660518646240234%,63.045658111572266%
2023-03-02T16:45:00+04:00 Dubai,24.10944366455078°C,41.660518646240234%,63.0452880859375%
2023-03-02T16:50:00+04:00 Dubai,24.10944366455078°C,41.660518646240234%,63.22254943847656%
2023-03-02T16:55:00+04:00 Dubai,24.10944366455078°C,41.660518646240234%,63.06565475463867%
2023-03-02T17:00:00+04:00 Dubai,24.10944366455078°C,41.660518646240234%,63.0467529296875%
2023-03-02T17:05:00+04:00 Dubai,24.10944366455078°C,41.660518646240234%,62.99177551269531%
2023-03-02T17:10:00+04:00 Dubai,24.10944366455078°C,41.660518646240234%,62.74724578857422%
2023-03-02T17:15:00+04:00 Dubai,23.9598445892334°C,41.660518646240234%,62.39988327026367%
2023-03-02T17:20:00+04:00 Dubai,23.9598445892334°C,41.660518646240234%,62.18039321899414%
2023-03-02T17:25:00+04:00 Dubai,23.9598445892334°C,41.660518646240234%,61.765380859375%
2023-03-02T17:30:00+04:00 Dubai,23.9598445892334°C,41.660518646240234%,61.379905700683594%
2023-03-02T17:35:00+04:00 Dubai,23.9598445892334°C,41.660518646240234%,61.1845703125%
2023-03-02T17:40:00+04:00 Dubai,23.9598445892334°C,41.660518646240234%,60.722679138183594%
2023-03-02T17:45:00+04:00 Dubai,23.9598445892334°C,41.660518646240234%,60.883087158203125%
2023-03-02T17:50:00+04:00 Dubai,23.810138702392578°C,40.544315338134766%,60.39088439941406%
2023-03-02T17:55:00+04:00 Dubai,23.810138702392578°C,40.544315338134766%,60.35944747924805%
2023-03-02T18:00:00+04:00 Dubai,23.810138702392578°C,39.50846862792969%,59.90681076049805%
2023-03-02T18:05:00+04:00 Dubai,23.661474227905273°C,38.446163177490234%,59.74307632446289%
2023-03-02T18:10:00+04:00 Dubai,23.661474227905273°C,37.18070983886719%,59.42500686645508%
2023-03-02T18:15:00+04:00 Dubai,23.661474227905273°C,36.15138244628906%,59.22416305541992%
2023-03-02T18:20:00+04:00 Dubai,23.661474227905273°C,37.211307525634766%,58.97446060180664%
2023-03-02T18:25:00+04:00 Dubai,23.661474227905273°C,37.211307525634766%,58.941287994384766%
2023-03-02T18:30:00+04:00 Dubai,23.512680053710938°C,37.211307525634766%,58.55137634277344%
2023-03-02T18:35:00+04:00 Dubai,23.512680053710938°C,37.211307525634766%,58.49607849121094%
2023-03-02T18:40:00+04:00 Dubai,23.512680053710938°C,37.211307525634766%,58.07529067993164%
2023-03-02T18:45:00+04:00 Dubai,23.512680053710938°C,37.211307525634766%,57.57069778442383%
2023-03-02T18:50:00+04:00 Dubai,23.512680053710938°C,37.211307525634766%,57.38470458984375%
2023-03-02T18:55:00+04:00 Dubai,23.512680053710938°C,37.211307525634766%,57.50830841064453%
2023-03-02T19:00:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.120731353759766%
2023-03-02T19:05:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.13545227050781%
2023-03-02T19:10:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.28608322143555%
2023-03-02T19:15:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.11066436767578%
2023-03-02T19:20:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.109954833984375%
2023-03-02T19:25:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.17354202270508%
2023-03-02T19:30:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.107635498046875%
2023-03-02T19:35:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.10525131225586%
2023-03-02T19:40:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.0955810546875%
2023-03-02T19:45:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.015098571777344%
2023-03-02T19:50:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.00168228149414%
2023-03-02T19:55:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,56.99519348144531%
2023-03-02T20:00:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.000831604003906%
2023-03-02T20:05:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,56.99903869628906%
2023-03-02T20:10:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.02606964111328%
2023-03-02T20:15:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.49224853515625%
2023-03-02T20:20:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.584014892578125%
2023-03-02T20:25:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.58435821533203%
2023-03-02T20:30:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.577449798583984%
2023-03-02T20:35:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.418704986572266%
2023-03-02T20:40:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.31959915161133%
2023-03-02T20:45:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.15298843383789%
2023-03-02T20:50:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.1456184387207%
2023-03-02T20:55:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.14533233642578%
2023-03-02T21:00:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.13725662231445%
2023-03-02T21:05:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.13101577758789%
2023-03-02T21:10:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.13266372680664%
2023-03-02T21:15:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.12420654296875%
2023-03-02T21:20:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.12327194213867%
2023-03-02T21:25:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.12436294555664%
2023-03-02T21:30:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.127262115478516%
2023-03-02T21:35:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.12337112426758%
2023-03-02T21:40:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.128108978271484%
2023-03-02T21:45:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.124698638916016%
2023-03-02T21:50:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.12602996826172%
2023-03-02T21:55:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.126216888427734%
2023-03-02T22:00:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.122947692871094%
2023-03-02T22:05:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.11781311035156%
2023-03-02T22:10:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.117889404296875%
2023-03-02T22:15:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.117576599121094%
2023-03-02T22:20:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.122291564941406%
2023-03-02T22:25:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.07346725463867%
2023-03-02T22:30:00+04:00 Dubai,23.363710403442383°C,37.211307525634766%,57.07461166381836%
2023-03-02T22:35:00+04:00 Dubai,23.214282989501953°C,37.211307525634766%,57.073455810546875%
2023-03-02T22:40:00+04:00 Dubai,23.214282989501953°C,37.211307525634766%,57.076358795166016%
2023-03-02T22:45:00+04:00 Dubai,23.214282989501953°C,37.211307525634766%,57.11157989501953%
2023-03-02T22:50:00+04:00 Dubai,23.214282989501953°C,37.211307525634766%,57.081539154052734%
2023-03-02T22:55:00+04:00 Dubai,23.214282989501953°C,37.211307525634766%,57.081851959228516%
2023-03-02T23:00:00+04:00 Dubai,23.214282989501953°C,37.211307525634766%,57.09169006347656%
2023-03-02T23:05:00+04:00 Dubai,23.214282989501953°C,37.211307525634766%,57.077049255371094%
2023-03-02T23:10:00+04:00 Dubai,23.214282989501953°C,37.211307525634766%,57.07316207885742%
2023-03-02T23:15:00+04:00 Dubai,23.214282989501953°C,37.211307525634766%,57.113304138183594%
2023-03-02T23:20:00+04:00 Dubai,23.214282989501953°C,37.211307525634766%,57.1240348815918%
2023-03-02T23:25:00+04:00 Dubai,23.06568145751953°C,37.211307525634766%,57.10880661010742%
2023-03-02T23:30:00+04:00 Dubai,23.06568145751953°C,37.211307525634766%,57.1179084777832%
2023-03-02T23:35:00+04:00 Dubai,23.06568145751953°C,37.211307525634766%,57.12057113647461%
2023-03-02T23:40:00+04:00 Dubai,23.06568145751953°C,37.211307525634766%,57.12175369262695%
2023-03-02T23:45:00+04:00 Dubai,23.06568145751953°C,37.211307525634766%,57.11792755126953%
2023-03-02T23:50:00+04:00 Dubai,23.06568145751953°C,37.211307525634766%,57.12162399291992%
2023-03-02T23:55:00+04:00 Dubai,23.06568145751953°C,37.211307525634766%,56.98744201660156%
2023-03-03T00:00:00+04:00 Dubai,23.06568145751953°C,0%,57.08156967163086%
2023-03-03T00:05:00+04:00 Dubai,23.06568145751953°C,0%,57.13726043701172%
2023-03-03T00:10:00+04:00 Dubai,23.06568145751953°C,25.217334747314453%,57.11262512207031%
2023-03-03T00:15:00+04:00 Dubai,23.06568145751953°C,25.217334747314453%,57.11156463623047%
2023-03-03T00:20:00+04:00 Dubai,23.06568145751953°C,25.217334747314453%,57.13071823120117%
2023-03-03T00:25:00+04:00 Dubai,23.06568145751953°C,25.217334747314453%,57.1195182800293%
2023-03-03T00:30:00+04:00 Dubai,23.06568145751953°C,25.217334747314453%,57.118839263916016%
2023-03-03T00:35:00+04:00 Dubai,23.06568145751953°C,25.217334747314453%,57.12266540527344%
2023-03-03T00:40:00+04:00 Dubai,23.06568145751953°C,25.217334747314453%,57.119720458984375%
2023-03-03T00:45:00+04:00 Dubai,23.06568145751953°C,25.217334747314453%,57.12071228027344%
2023-03-03T00:50:00+04:00 Dubai,23.06568145751953°C,25.217334747314453%,57.122806549072266%
2023-03-03T00:55:00+04:00 Dubai,23.06568145751953°C,26.223377227783203%,57.128318786621094%
2023-03-03T01:00:00+04:00 Dubai,23.06568145751953°C,26.223377227783203%,57.128318786621094%
2023-03-03T01:05:00+04:00 Dubai,22.91717529296875°C,26.223377227783203%,57.13005065917969%
2023-03-03T01:10:00+04:00 Dubai,22.91717529296875°C,27.24859046936035%,57.132686614990234%
2023-03-03T01:15:00+04:00 Dubai,22.91717529296875°C,27.24859046936035%,57.1325798034668%
2023-03-03T01:20:00+04:00 Dubai,22.91717529296875°C,27.24859046936035%,57.128387451171875%
2023-03-03T01:25:00+04:00 Dubai,22.91717529296875°C,27.24859046936035%,57.12745666503906%
2023-03-03T01:30:00+04:00 Dubai,22.91717529296875°C,28.239450454711914%,57.12550735473633%
2023-03-03T01:35:00+04:00 Dubai,22.91717529296875°C,28.239450454711914%,57.11972427368164%
2023-03-03T01:40:00+04:00 Dubai,22.91717529296875°C,28.239450454711914%,57.114295959472656%
2023-03-03T01:45:00+04:00 Dubai,22.91717529296875°C,28.239450454711914%,57.1193733215332%
2023-03-03T01:50:00+04:00 Dubai,22.91717529296875°C,29.25685691833496%,57.11543273925781%
2023-03-03T01:55:00+04:00 Dubai,22.91717529296875°C,29.25685691833496%,57.11891174316406%
2023-03-03T02:00:00+04:00 Dubai,22.91717529296875°C,29.25685691833496%,57.123321533203125%
2023-03-03T02:05:00+04:00 Dubai,22.91717529296875°C,30.290489196777344%,57.12099838256836%
2023-03-03T02:10:00+04:00 Dubai,22.91717529296875°C,30.290489196777344%,57.12357711791992%
2023-03-03T02:15:00+04:00 Dubai,22.91717529296875°C,31.390684127807617%,57.12495040893555%
2023-03-03T02:20:00+04:00 Dubai,22.91717529296875°C,31.390684127807617%,57.13175964355469%
2023-03-03T02:25:00+04:00 Dubai,22.91717529296875°C,32.43266296386719%,57.12932205200195%
2023-03-03T02:30:00+04:00 Dubai,22.91717529296875°C,33.454280853271484%,57.13486099243164%
2023-03-03T02:35:00+04:00 Dubai,22.91717529296875°C,34.49201202392578%,57.13276290893555%
2023-03-03T02:40:00+04:00 Dubai,22.91717529296875°C,34.49201202392578%,57.133934020996094%
2023-03-03T02:45:00+04:00 Dubai,22.91717529296875°C,34.49201202392578%,57.13578796386719%
2023-03-03T02:50:00+04:00 Dubai,22.91717529296875°C,34.49201202392578%,57.130828857421875%
2023-03-03T02:55:00+04:00 Dubai,22.91717529296875°C,34.49201202392578%,57.126644134521484%
2023-03-03T03:00:00+04:00 Dubai,22.91717529296875°C,34.49201202392578%,57.1336784362793%
2023-03-03T03:05:00+04:00 Dubai,22.91717529296875°C,34.49201202392578%,57.13449478149414%
2023-03-03T03:10:00+04:00 Dubai,22.91717529296875°C,34.49201202392578%,57.13760757446289%
2023-03-03T03:15:00+04:00 Dubai,22.91717529296875°C,34.49201202392578%,57.13346862792969%
2023-03-03T03:20:00+04:00 Dubai,22.91717529296875°C,34.49201202392578%,57.131351470947266%
2023-03-03T03:25:00+04:00 Dubai,22.91717529296875°C,34.49201202392578%,57.133365631103516%
2023-03-03T03:30:00+04:00 Dubai,22.91717529296875°C,34.49201202392578%,57.133155822753906%
2023-03-03T03:35:00+04:00 Dubai,22.91717529296875°C,34.49201202392578%,57.13949966430664%
2023-03-03T03:40:00+04:00 Dubai,22.91717529296875°C,34.49201202392578%,57.129234313964844%
2023-03-03T03:45:00+04:00 Dubai,22.91717529296875°C,34.49201202392578%,57.125789642333984%
2023-03-03T03:50:00+04:00 Dubai,22.91717529296875°C,34.49201202392578%,57.1364860534668%
2023-03-03T03:55:00+04:00 Dubai,22.91717529296875°C,34.49201202392578%,57.129417419433594%
2023-03-03T04:00:00+04:00 Dubai,22.768001556396484°C,34.49201202392578%,57.13312911987305%
2023-03-03T04:05:00+04:00 Dubai,22.768001556396484°C,34.49201202392578%,57.139076232910156%
2023-03-03T04:10:00+04:00 Dubai,22.768001556396484°C,34.49201202392578%,57.14093017578125%
2023-03-03T04:15:00+04:00 Dubai,22.768001556396484°C,34.49201202392578%,57.132144927978516%
2023-03-03T04:20:00+04:00 Dubai,22.768001556396484°C,34.49201202392578%,57.12508010864258%
2023-03-03T04:25:00+04:00 Dubai,22.768001556396484°C,34.49201202392578%,57.128013610839844%
2023-03-03T04:30:00+04:00 Dubai,22.768001556396484°C,34.49201202392578%,57.13182830810547%
2023-03-03T04:35:00+04:00 Dubai,22.768001556396484°C,34.49201202392578%,57.18405532836914%
2023-03-03T04:40:00+04:00 Dubai,22.768001556396484°C,34.49201202392578%,57.12290954589844%
2023-03-03T04:45:00+04:00 Dubai,22.768001556396484°C,35.53285217285156%,57.1317253112793%
2023-03-03T04:50:00+04:00 Dubai,22.768001556396484°C,35.53285217285156%,57.12868881225586%
2023-03-03T04:55:00+04:00 Dubai,22.768001556396484°C,35.53285217285156%,57.127437591552734%
2023-03-03T05:00:00+04:00 Dubai,22.768001556396484°C,36.62824249267578%,57.12580108642578%
2023-03-03T05:05:00+04:00 Dubai,22.768001556396484°C,36.62824249267578%,57.12859344482422%
2023-03-03T05:10:00+04:00 Dubai,22.768001556396484°C,37.699913024902344%,57.130760192871094%
2023-03-03T05:15:00+04:00 Dubai,22.768001556396484°C,37.699913024902344%,57.13633346557617%
2023-03-03T05:20:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.12910461425781%
2023-03-03T05:25:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.12320327758789%
2023-03-03T05:30:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.130714416503906%
2023-03-03T05:35:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.13157653808594%
2023-03-03T05:40:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.13105773925781%
2023-03-03T05:45:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.12513732910156%
2023-03-03T05:50:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.12135696411133%
2023-03-03T05:55:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.12169647216797%
2023-03-03T06:00:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.11753463745117%
2023-03-03T06:05:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.11722183227539%
2023-03-03T06:10:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.119503021240234%
2023-03-03T06:15:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.12191390991211%
2023-03-03T06:20:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.11092758178711%
2023-03-03T06:25:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.12345504760742%
2023-03-03T06:30:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.121063232421875%
2023-03-03T06:35:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.12069320678711%
2023-03-03T06:40:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.122989654541016%
2023-03-03T06:45:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.12323760986328%
2023-03-03T06:50:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.11857223510742%
2023-03-03T06:55:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.122802734375%
2023-03-03T07:00:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.12348556518555%
2023-03-03T07:05:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.12283706665039%
2023-03-03T07:10:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.12269592285156%
2023-03-03T07:15:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.12050247192383%
2023-03-03T07:20:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.12388229370117%
2023-03-03T07:25:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.115299224853516%
2023-03-03T07:30:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.1223258972168%
2023-03-03T07:35:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.09809494018555%
2023-03-03T07:40:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.12527084350586%
2023-03-03T07:45:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.1088752746582%
2023-03-03T07:50:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.11659240722656%
2023-03-03T07:55:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.1237678527832%
2023-03-03T08:00:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.115901947021484%
2023-03-03T08:05:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.12166213989258%
2023-03-03T08:10:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.12287521362305%
2023-03-03T08:15:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.1158561706543%
2023-03-03T08:20:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.12855529785156%
2023-03-03T08:25:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.48544692993164%
2023-03-03T08:30:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.581172943115234%
2023-03-03T08:35:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.58498764038086%
2023-03-03T08:40:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.585838317871094%
2023-03-03T08:45:00+04:00 Dubai,22.768001556396484°C,38.750511169433594%,57.58087921142578%
2023-03-03T08:50:00+04:00 Dubai,22.91683006286621°C,38.750511169433594%,57.914066314697266%
2023-03-03T08:55:00+04:00 Dubai,22.91683006286621°C,38.750511169433594%,59.02375411987305%
2023-03-03T09:00:00+04:00 Dubai,22.91683006286621°C,38.750511169433594%,59.60093307495117%
2023-03-03T09:05:00+04:00 Dubai,23.065366744995117°C,38.750511169433594%,60.575477600097656%
2023-03-03T09:10:00+04:00 Dubai,23.065366744995117°C,38.750511169433594%,60.875732421875%
2023-03-03T09:15:00+04:00 Dubai,23.065366744995117°C,38.750511169433594%,60.64107131958008%
2023-03-03T09:20:00+04:00 Dubai,23.065366744995117°C,38.750511169433594%,60.697933197021484%
2023-03-03T09:25:00+04:00 Dubai,23.214811325073242°C,38.750511169433594%,62.94483184814453%
2023-03-03T09:30:00+04:00 Dubai,23.214811325073242°C,40.224754333496094%,63.34845733642578%
2023-03-03T09:35:00+04:00 Dubai,23.214811325073242°C,41.42012405395508%,63.4294319152832%
2023-03-03T09:40:00+04:00 Dubai,23.214811325073242°C,42.70641326904297%,65.718994140625%
2023-03-03T09:45:00+04:00 Dubai,23.364500045776367°C,41.648529052734375%,65.14237213134766%
2023-03-03T09:50:00+04:00 Dubai,23.364500045776367°C,41.648529052734375%,65.64685821533203%
2023-03-03T09:55:00+04:00 Dubai,23.364500045776367°C,41.648529052734375%,66.1986083984375%
2023-03-03T10:00:00+04:00 Dubai,23.364500045776367°C,41.648529052734375%,66.35404205322266%
2023-03-03T10:05:00+04:00 Dubai,23.364500045776367°C,41.648529052734375%,66.83241271972656%
2023-03-03T10:10:00+04:00 Dubai,23.513273239135742°C,44.08904266357422%,69.37904357910156%
2023-03-03T10:15:00+04:00 Dubai,23.513273239135742°C,45.154052734375%,68.1429443359375%
2023-03-03T10:20:00+04:00 Dubai,23.513273239135742°C,47.714637756347656%,68.43701171875%
2023-03-03T10:25:00+04:00 Dubai,23.513273239135742°C,46.391929626464844%,68.48746490478516%
2023-03-03T10:30:00+04:00 Dubai,23.513273239135742°C,46.391929626464844%,69.91097259521484%
2023-03-03T10:35:00+04:00 Dubai,23.513273239135742°C,46.391929626464844%,71.3868408203125%
2023-03-03T10:40:00+04:00 Dubai,23.513273239135742°C,47.427879333496094%,71.55252838134766%
2023-03-03T10:45:00+04:00 Dubai,23.513273239135742°C,47.427879333496094%,69.48284149169922%
2023-03-03T10:50:00+04:00 Dubai,23.513273239135742°C,47.427879333496094%,68.0182876586914%
2023-03-03T10:55:00+04:00 Dubai,23.66242027282715°C,47.427879333496094%,68.00618743896484%
2023-03-03T11:00:00+04:00 Dubai,23.66242027282715°C,47.427879333496094%,67.31124114990234%
2023-03-03T11:05:00+04:00 Dubai,23.66242027282715°C,47.427879333496094%,67.684326171875%
2023-03-03T11:10:00+04:00 Dubai,23.66242027282715°C,47.427879333496094%,67.55653381347656%
2023-03-03T11:15:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,67.21038818359375%
2023-03-03T11:20:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,67.22358703613281%
2023-03-03T11:25:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,67.07997131347656%
2023-03-03T11:30:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,66.72508239746094%
2023-03-03T11:35:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,66.61618041992188%
2023-03-03T11:40:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,66.26019287109375%
2023-03-03T11:45:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,65.75608825683594%
2023-03-03T11:50:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,65.66564178466797%
2023-03-03T11:55:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,65.36933898925781%
2023-03-03T12:00:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,65.07894134521484%
2023-03-03T12:05:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,64.63833618164062%
2023-03-03T12:10:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,64.40254211425781%
2023-03-03T12:15:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,64.08924865722656%
2023-03-03T12:20:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,64.17349243164062%
2023-03-03T12:25:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,63.79881286621094%
2023-03-03T12:30:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,63.246639251708984%
2023-03-03T12:35:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,63.06482696533203%
2023-03-03T12:40:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,63.04078674316406%
2023-03-03T12:45:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,62.6806640625%
2023-03-03T12:50:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,62.580204010009766%
2023-03-03T12:55:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,62.113582611083984%
2023-03-03T13:00:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,62.01396560668945%
2023-03-03T13:05:00+04:00 Dubai,23.81178092956543°C,47.427879333496094%,61.65327453613281%
