ts,DMC Building 1 Data Quality Tests Dup of AHU_04_B1 Return Air Temp,DMC Building 1 Data Quality Tests New-Point
2023-02-25T11:30:00+04:00 Dubai,24.270288467407227°C,""
2023-02-25T11:35:00+04:00 Dubai,24.270288467407227°C,""
2023-02-25T11:40:00+04:00 Dubai,24.270288467407227°C,""
2023-02-25T11:45:00+04:00 Dubai,24.270288467407227°C,""
2023-02-25T11:50:00+04:00 Dubai,24.270288467407227°C,""
2023-02-25T11:55:00+04:00 Dubai,24.270288467407227°C,""
2023-02-25T12:00:00+04:00 Dubai,24.41889762878418°C,""
2023-02-25T12:05:00+04:00 Dubai,24.41889762878418°C,""
2023-02-25T12:10:00+04:00 Dubai,24.41889762878418°C,""
2023-02-25T12:15:00+04:00 Dubai,24.41889762878418°C,""
2023-02-25T12:20:00+04:00 Dubai,24.41889762878418°C,""
2023-02-25T12:25:00+04:00 Dubai,24.567859649658203°C,""
2023-02-25T12:30:00+04:00 Dubai,24.567859649658203°C,""
2023-02-25T12:35:00+04:00 Dubai,24.567859649658203°C,""
2023-02-25T12:40:00+04:00 Dubai,24.567859649658203°C,""
2023-02-25T12:45:00+04:00 Dubai,24.567859649658203°C,""
2023-02-25T12:50:00+04:00 Dubai,24.567859649658203°C,""
2023-02-25T12:55:00+04:00 Dubai,24.567859649658203°C,""
2023-02-25T13:00:00+04:00 Dubai,24.567859649658203°C,""
2023-02-25T13:05:00+04:00 Dubai,24.567859649658203°C,""
2023-02-25T13:10:00+04:00 Dubai,24.567859649658203°C,""
2023-02-25T13:15:00+04:00 Dubai,24.567859649658203°C,""
2023-02-25T13:20:00+04:00 Dubai,24.567859649658203°C,""
2023-02-25T13:25:00+04:00 Dubai,24.418649673461914°C,""
2023-02-25T13:30:00+04:00 Dubai,24.418649673461914°C,""
2023-02-25T13:35:00+04:00 Dubai,24.418649673461914°C,""
2023-02-25T13:40:00+04:00 Dubai,24.418649673461914°C,""
2023-02-25T13:45:00+04:00 Dubai,24.418649673461914°C,""
2023-02-25T13:50:00+04:00 Dubai,24.418649673461914°C,""
2023-02-25T13:55:00+04:00 Dubai,24.418649673461914°C,""
2023-02-25T14:00:00+04:00 Dubai,24.418649673461914°C,""
2023-02-25T14:05:00+04:00 Dubai,24.418649673461914°C,""
2023-02-25T14:10:00+04:00 Dubai,24.418649673461914°C,""
2023-02-25T14:15:00+04:00 Dubai,24.418649673461914°C,""
2023-02-25T14:20:00+04:00 Dubai,24.418649673461914°C,""
2023-02-25T14:25:00+04:00 Dubai,24.418649673461914°C,""
2023-02-25T14:30:00+04:00 Dubai,24.418649673461914°C,""
2023-02-25T14:35:00+04:00 Dubai,24.418649673461914°C,""
2023-02-25T14:40:00+04:00 Dubai,24.418649673461914°C,""
2023-02-25T14:45:00+04:00 Dubai,24.418649673461914°C,""
2023-02-25T14:50:00+04:00 Dubai,24.418649673461914°C,""
2023-02-25T14:55:00+04:00 Dubai,24.418649673461914°C,""
2023-02-25T15:00:00+04:00 Dubai,24.418649673461914°C,""
2023-02-25T15:05:00+04:00 Dubai,24.418649673461914°C,""
2023-02-25T15:10:00+04:00 Dubai,24.26913833618164°C,""
2023-02-25T15:15:00+04:00 Dubai,24.26913833618164°C,""
2023-02-25T15:20:00+04:00 Dubai,24.26913833618164°C,""
2023-02-25T15:25:00+04:00 Dubai,24.26913833618164°C,""
2023-02-25T15:30:00+04:00 Dubai,24.26913833618164°C,""
2023-02-25T15:35:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T15:40:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T15:45:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T15:50:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T15:55:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T16:00:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T16:05:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T16:10:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T16:15:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T16:20:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T16:25:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T16:30:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T16:35:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T16:40:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T16:45:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T16:50:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T16:55:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T17:00:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T17:05:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T17:10:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T17:15:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T17:20:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T17:25:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T17:30:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T17:35:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T17:40:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T17:45:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T17:50:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T17:55:00+04:00 Dubai,24.11996841430664°C,""
2023-02-25T18:00:00+04:00 Dubai,23.97028160095215°C,""
2023-02-25T18:05:00+04:00 Dubai,23.97028160095215°C,""
2023-02-25T18:10:00+04:00 Dubai,23.97028160095215°C,""
2023-02-25T18:15:00+04:00 Dubai,23.97028160095215°C,""
2023-02-25T18:20:00+04:00 Dubai,23.97028160095215°C,""
2023-02-25T18:25:00+04:00 Dubai,23.97028160095215°C,""
2023-02-25T18:30:00+04:00 Dubai,23.82145118713379°C,""
2023-02-25T18:35:00+04:00 Dubai,23.82145118713379°C,""
2023-02-25T18:40:00+04:00 Dubai,23.82145118713379°C,""
2023-02-25T18:45:00+04:00 Dubai,23.82145118713379°C,""
2023-02-25T18:50:00+04:00 Dubai,23.82145118713379°C,""
2023-02-25T18:55:00+04:00 Dubai,23.82145118713379°C,""
2023-02-25T19:00:00+04:00 Dubai,23.82145118713379°C,""
2023-02-25T19:05:00+04:00 Dubai,23.82145118713379°C,""
2023-02-25T19:10:00+04:00 Dubai,23.82145118713379°C,""
2023-02-25T19:15:00+04:00 Dubai,23.82145118713379°C,""
2023-02-25T19:20:00+04:00 Dubai,23.82145118713379°C,""
2023-02-25T19:25:00+04:00 Dubai,23.82145118713379°C,""
2023-02-25T19:30:00+04:00 Dubai,23.82145118713379°C,""
2023-02-25T19:35:00+04:00 Dubai,23.82145118713379°C,""
2023-02-25T19:40:00+04:00 Dubai,23.82145118713379°C,""
2023-02-25T19:45:00+04:00 Dubai,23.82145118713379°C,""
2023-02-25T19:50:00+04:00 Dubai,23.82145118713379°C,""
2023-02-25T19:55:00+04:00 Dubai,23.82145118713379°C,""
2023-02-25T20:00:00+04:00 Dubai,23.82145118713379°C,""
2023-02-25T20:05:00+04:00 Dubai,23.82145118713379°C,""
2023-02-25T20:10:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T20:15:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T20:20:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T20:25:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T20:30:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T20:35:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T20:40:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T20:45:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T20:50:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T20:55:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T21:00:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T21:05:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T21:10:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T21:15:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T21:20:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T21:25:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T21:30:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T21:35:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T21:40:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T21:45:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T21:50:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T21:55:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T22:00:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T22:05:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T22:10:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T22:15:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T22:20:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T22:25:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T22:30:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T22:35:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T22:40:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T22:45:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T22:50:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T22:55:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T23:00:00+04:00 Dubai,23.672767639160156°C,""
2023-02-25T23:05:00+04:00 Dubai,23.523597717285156°C,""
2023-02-25T23:10:00+04:00 Dubai,23.523597717285156°C,""
2023-02-25T23:15:00+04:00 Dubai,23.523597717285156°C,""
2023-02-25T23:20:00+04:00 Dubai,23.523597717285156°C,""
2023-02-25T23:25:00+04:00 Dubai,23.523597717285156°C,""
2023-02-25T23:30:00+04:00 Dubai,23.523597717285156°C,""
2023-02-25T23:35:00+04:00 Dubai,23.523597717285156°C,""
2023-02-25T23:40:00+04:00 Dubai,23.523597717285156°C,""
2023-02-25T23:45:00+04:00 Dubai,23.523597717285156°C,""
2023-02-25T23:50:00+04:00 Dubai,23.523597717285156°C,""
2023-02-25T23:55:00+04:00 Dubai,23.523597717285156°C,""
2023-02-26T00:00:00+04:00 Dubai,23.523597717285156°C,""
2023-02-26T00:05:00+04:00 Dubai,23.523597717285156°C,""
2023-02-26T00:10:00+04:00 Dubai,23.523597717285156°C,""
2023-02-26T00:15:00+04:00 Dubai,23.523597717285156°C,""
2023-02-26T00:20:00+04:00 Dubai,23.523597717285156°C,""
2023-02-26T00:25:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T00:30:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T00:35:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T00:40:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T00:45:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T00:50:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T00:55:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T01:00:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T01:05:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T01:10:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T01:15:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T01:20:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T01:25:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T01:30:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T01:35:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T01:40:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T01:45:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T01:50:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T01:55:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T02:00:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T02:05:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T02:10:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T02:15:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T02:20:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T02:25:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T02:30:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T02:35:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T02:40:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T02:45:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T02:50:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T02:55:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T03:00:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T03:05:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T03:10:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T03:15:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T03:20:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T03:25:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T03:30:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T03:35:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T03:40:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T03:45:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T03:50:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T03:55:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T04:00:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T04:05:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T04:10:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T04:15:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T04:20:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T04:25:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T04:30:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T04:35:00+04:00 Dubai,23.374757766723633°C,""
2023-02-26T04:40:00+04:00 Dubai,23.374757766723633°C,""
