Timestamp,val,discharge_Chilled_Water_Cool_Valve_Cmd_AHU_01_B1_Copy
2023-06-26T08:50:00+04:00 Dubai,24.37530517578125°C,92.78722381591797%
2023-06-26T08:55:00+04:00 Dubai,24.37530517578125°C,94.04259490966797%
2023-06-26T09:00:00+04:00 Dubai,24.37530517578125°C,98.1003646850586%
2023-06-26T09:05:00+04:00 Dubai,24.37530517578125°C,99.462646484375%
2023-06-26T09:10:00+04:00 Dubai,24.523906707763672°C,96.27030181884766%
2023-06-26T09:15:00+04:00 Dubai,24.523906707763672°C,85.19355773925781%
2023-06-26T09:20:00+04:00 Dubai,24.523906707763672°C,79.24925231933594%
2023-06-26T09:25:00+04:00 Dubai,24.523906707763672°C,75.01346588134766%
2023-06-26T09:30:00+04:00 Dubai,24.375205993652344°C,71.97044372558594%
2023-06-26T09:35:00+04:00 Dubai,24.375205993652344°C,69.2398681640625%
2023-06-26T09:40:00+04:00 Dubai,24.375205993652344°C,65.98307800292969%
2023-06-26T09:45:00+04:00 Dubai,24.375205993652344°C,63.22684860229492%
2023-06-26T09:50:00+04:00 Dubai,24.375205993652344°C,61.06544494628906%
2023-06-26T09:55:00+04:00 Dubai,24.375205993652344°C,58.741729736328125%
2023-06-26T10:00:00+04:00 Dubai,24.375205993652344°C,58.741729736328125%
2023-06-26T10:05:00+04:00 Dubai,24.375205993652344°C,56.56432342529297%
2023-06-26T10:10:00+04:00 Dubai,24.375205993652344°C,56.56432342529297%
2023-06-26T10:15:00+04:00 Dubai,24.375205993652344°C,56.56432342529297%
2023-06-26T10:20:00+04:00 Dubai,24.375205993652344°C,56.56432342529297%
2023-06-26T10:25:00+04:00 Dubai,24.375205993652344°C,56.56432342529297%
2023-06-26T10:30:00+04:00 Dubai,24.375205993652344°C,56.56432342529297%
2023-06-26T10:35:00+04:00 Dubai,24.375205993652344°C,56.56432342529297%
2023-06-26T10:40:00+04:00 Dubai,24.375205993652344°C,56.56432342529297%
2023-06-26T10:45:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T10:50:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T10:55:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T11:00:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T11:05:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T11:10:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T11:15:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T11:20:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T11:25:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T11:30:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T11:35:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T11:40:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T11:45:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T11:50:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T11:55:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T12:00:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T12:05:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T12:10:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T12:15:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T12:20:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T12:25:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T12:30:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T12:35:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T12:40:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T12:45:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T12:50:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T12:55:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T13:00:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T13:05:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T13:10:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T13:15:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T13:20:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T13:25:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T13:30:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T13:35:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T13:40:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T13:45:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T13:50:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T13:55:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T14:00:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T14:05:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T14:10:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T14:15:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T14:20:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T14:25:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T14:30:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T14:35:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T14:40:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T14:45:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T14:50:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T14:55:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T15:00:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T15:05:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T15:10:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T15:15:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T15:20:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T15:25:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T15:30:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T15:35:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T15:40:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T15:45:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T15:50:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T15:55:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T16:00:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T16:05:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T16:10:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T16:15:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T16:20:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T16:25:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T16:30:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T16:35:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T16:40:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T16:45:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T16:50:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T16:55:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T17:00:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T17:05:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T17:10:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T17:15:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T17:20:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T17:25:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T17:30:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T17:35:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T17:40:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T17:45:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T17:50:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T17:55:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T18:00:00+04:00 Dubai,24.524124145507812°C,56.56432342529297%
2023-06-26T18:05:00+04:00 Dubai,24.524124145507812°C,55.184383392333984%
2023-06-26T18:10:00+04:00 Dubai,24.524124145507812°C,52.61647415161133%
2023-06-26T18:15:00+04:00 Dubai,24.375505447387695°C,51.56808090209961%
2023-06-26T18:20:00+04:00 Dubai,24.375505447387695°C,51.56808090209961%
2023-06-26T18:25:00+04:00 Dubai,24.375505447387695°C,51.56808090209961%
2023-06-26T18:30:00+04:00 Dubai,24.375505447387695°C,50.14904022216797%
2023-06-26T18:35:00+04:00 Dubai,24.375505447387695°C,49.10010528564453%
2023-06-26T18:40:00+04:00 Dubai,24.22552490234375°C,48.10721969604492%
2023-06-26T18:45:00+04:00 Dubai,24.22552490234375°C,48.10721969604492%
2023-06-26T18:50:00+04:00 Dubai,24.22552490234375°C,48.10721969604492%
2023-06-26T18:55:00+04:00 Dubai,24.22552490234375°C,48.10721969604492%
2023-06-26T19:00:00+04:00 Dubai,24.22552490234375°C,48.10721969604492%
2023-06-26T19:05:00+04:00 Dubai,24.076032638549805°C,43.41756057739258%
2023-06-26T19:10:00+04:00 Dubai,24.076032638549805°C,43.41756057739258%
2023-06-26T19:15:00+04:00 Dubai,24.076032638549805°C,43.41756057739258%
2023-06-26T19:20:00+04:00 Dubai,24.076032638549805°C,43.41756057739258%
2023-06-26T19:25:00+04:00 Dubai,24.076032638549805°C,43.41756057739258%
2023-06-26T19:30:00+04:00 Dubai,24.076032638549805°C,42.331756591796875%
2023-06-26T19:35:00+04:00 Dubai,24.076032638549805°C,41.108421325683594%
2023-06-26T19:40:00+04:00 Dubai,24.076032638549805°C,40.08293914794922%
2023-06-26T19:45:00+04:00 Dubai,24.076032638549805°C,39.083580017089844%
2023-06-26T19:50:00+04:00 Dubai,24.076032638549805°C,40.498634338378906%
2023-06-26T19:55:00+04:00 Dubai,24.076032638549805°C,40.498634338378906%
2023-06-26T20:00:00+04:00 Dubai,24.076032638549805°C,40.498634338378906%
2023-06-26T20:05:00+04:00 Dubai,24.076032638549805°C,40.498634338378906%
2023-06-26T20:10:00+04:00 Dubai,24.076032638549805°C,40.498634338378906%
2023-06-26T20:15:00+04:00 Dubai,24.076032638549805°C,40.498634338378906%
2023-06-26T20:20:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T20:25:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T20:30:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T20:35:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T20:40:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T20:45:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T20:50:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T20:55:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T21:00:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T21:05:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T21:10:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T21:15:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T21:20:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T21:25:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T21:30:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T21:35:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T21:40:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T21:45:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T21:50:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T21:55:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T22:00:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T22:05:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T22:10:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T22:15:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T22:20:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T22:25:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T22:30:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T22:35:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T22:40:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T22:45:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T22:50:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T22:55:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T23:00:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T23:05:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T23:10:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T23:15:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T23:20:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T23:25:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T23:30:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T23:35:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T23:40:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T23:45:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T23:50:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-26T23:55:00+04:00 Dubai,23.92734718322754°C,40.498634338378906%
2023-06-27T00:00:00+04:00 Dubai,23.92734718322754°C,27.846107482910156%
2023-06-27T00:05:00+04:00 Dubai,23.92734718322754°C,30.038955688476562%
2023-06-27T00:10:00+04:00 Dubai,23.92734718322754°C,24.34366798400879%
2023-06-27T00:15:00+04:00 Dubai,23.92734718322754°C,27.336894989013672%
2023-06-27T00:20:00+04:00 Dubai,23.92734718322754°C,29.33540153503418%
2023-06-27T00:25:00+04:00 Dubai,23.92734718322754°C,29.33540153503418%
2023-06-27T00:30:00+04:00 Dubai,23.92734718322754°C,29.33540153503418%
2023-06-27T00:35:00+04:00 Dubai,23.92734718322754°C,29.33540153503418%
2023-06-27T00:40:00+04:00 Dubai,23.92734718322754°C,29.33540153503418%
2023-06-27T00:45:00+04:00 Dubai,23.92734718322754°C,29.33540153503418%
2023-06-27T00:50:00+04:00 Dubai,23.92734718322754°C,29.33540153503418%
2023-06-27T00:55:00+04:00 Dubai,23.92734718322754°C,29.33540153503418%
2023-06-27T01:00:00+04:00 Dubai,23.92734718322754°C,29.33540153503418%
2023-06-27T01:05:00+04:00 Dubai,23.92734718322754°C,29.33540153503418%
2023-06-27T01:10:00+04:00 Dubai,23.92734718322754°C,29.33540153503418%
2023-06-27T01:15:00+04:00 Dubai,23.92734718322754°C,29.33540153503418%
2023-06-27T01:20:00+04:00 Dubai,23.92734718322754°C,29.33540153503418%
2023-06-27T01:25:00+04:00 Dubai,23.92734718322754°C,29.33540153503418%
2023-06-27T01:30:00+04:00 Dubai,23.92734718322754°C,29.33540153503418%
2023-06-27T01:35:00+04:00 Dubai,23.92734718322754°C,29.33540153503418%
2023-06-27T01:40:00+04:00 Dubai,23.92734718322754°C,29.33540153503418%
2023-06-27T01:45:00+04:00 Dubai,23.92734718322754°C,29.33540153503418%
2023-06-27T01:50:00+04:00 Dubai,23.92734718322754°C,29.33540153503418%
2023-06-27T01:55:00+04:00 Dubai,23.92734718322754°C,29.33540153503418%
2023-06-27T02:00:00+04:00 Dubai,23.92734718322754°C,29.33540153503418%
2023-06-27T02:05:00+04:00 Dubai,23.77869987487793°C,29.33540153503418%
2023-06-27T02:10:00+04:00 Dubai,23.77869987487793°C,29.33540153503418%
2023-06-27T02:15:00+04:00 Dubai,23.77869987487793°C,29.33540153503418%
2023-06-27T02:20:00+04:00 Dubai,23.77869987487793°C,29.33540153503418%
2023-06-27T02:25:00+04:00 Dubai,23.77869987487793°C,29.33540153503418%
2023-06-27T02:30:00+04:00 Dubai,23.77869987487793°C,30.473388671875%
2023-06-27T02:35:00+04:00 Dubai,23.77869987487793°C,30.473388671875%
2023-06-27T02:40:00+04:00 Dubai,23.77869987487793°C,30.473388671875%
2023-06-27T02:45:00+04:00 Dubai,23.77869987487793°C,31.51652717590332%
2023-06-27T02:50:00+04:00 Dubai,23.77869987487793°C,31.51652717590332%
2023-06-27T02:55:00+04:00 Dubai,23.77869987487793°C,32.566497802734375%
2023-06-27T03:00:00+04:00 Dubai,23.77869987487793°C,32.566497802734375%
2023-06-27T03:05:00+04:00 Dubai,23.77869987487793°C,32.566497802734375%
2023-06-27T03:10:00+04:00 Dubai,23.77869987487793°C,33.599151611328125%
2023-06-27T03:15:00+04:00 Dubai,23.77869987487793°C,33.599151611328125%
2023-06-27T03:20:00+04:00 Dubai,23.77869987487793°C,33.599151611328125%
2023-06-27T03:25:00+04:00 Dubai,23.77869987487793°C,33.599151611328125%
2023-06-27T03:30:00+04:00 Dubai,23.77869987487793°C,33.599151611328125%
2023-06-27T03:35:00+04:00 Dubai,23.77869987487793°C,33.599151611328125%
2023-06-27T03:40:00+04:00 Dubai,23.77869987487793°C,33.599151611328125%
2023-06-27T03:45:00+04:00 Dubai,23.77869987487793°C,33.599151611328125%
2023-06-27T03:50:00+04:00 Dubai,23.77869987487793°C,33.599151611328125%
2023-06-27T03:55:00+04:00 Dubai,23.77869987487793°C,33.599151611328125%
2023-06-27T04:00:00+04:00 Dubai,23.77869987487793°C,33.599151611328125%
2023-06-27T04:05:00+04:00 Dubai,23.77869987487793°C,33.599151611328125%
2023-06-27T04:10:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T04:15:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T04:20:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T04:25:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T04:30:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T04:35:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T04:40:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T04:45:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T04:50:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T04:55:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T05:00:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T05:05:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T05:10:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T05:15:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T05:20:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T05:25:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T05:30:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T05:35:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T05:40:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T05:45:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T05:50:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T05:55:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T06:00:00+04:00 Dubai,23.62904930114746°C,33.599151611328125%
2023-06-27T06:05:00+04:00 Dubai,23.62904930114746°C,43.55831527709961%
2023-06-27T06:10:00+04:00 Dubai,23.62904930114746°C,45.739845275878906%
2023-06-27T06:15:00+04:00 Dubai,23.62904930114746°C,45.739845275878906%
2023-06-27T06:20:00+04:00 Dubai,23.62904930114746°C,45.739845275878906%
2023-06-27T06:25:00+04:00 Dubai,23.62904930114746°C,45.739845275878906%
2023-06-27T06:30:00+04:00 Dubai,23.62904930114746°C,44.743927001953125%
2023-06-27T06:35:00+04:00 Dubai,23.62904930114746°C,44.743927001953125%
2023-06-27T06:40:00+04:00 Dubai,23.62904930114746°C,44.743927001953125%
2023-06-27T06:45:00+04:00 Dubai,23.62904930114746°C,44.743927001953125%
2023-06-27T06:50:00+04:00 Dubai,23.62904930114746°C,44.743927001953125%
2023-06-27T06:55:00+04:00 Dubai,23.62904930114746°C,44.743927001953125%
2023-06-27T07:00:00+04:00 Dubai,23.62904930114746°C,44.743927001953125%
2023-06-27T07:05:00+04:00 Dubai,23.62904930114746°C,53.912635803222656%
2023-06-27T07:10:00+04:00 Dubai,23.777864456176758°C,58.08161544799805%
2023-06-27T07:15:00+04:00 Dubai,23.777864456176758°C,62.30607986450195%
2023-06-27T07:20:00+04:00 Dubai,23.777864456176758°C,64.51014709472656%
2023-06-27T07:25:00+04:00 Dubai,23.92815399169922°C,69.99380493164062%
2023-06-27T07:30:00+04:00 Dubai,23.92815399169922°C,73.45318603515625%
2023-06-27T07:35:00+04:00 Dubai,23.92815399169922°C,78.65418243408203%
2023-06-27T07:40:00+04:00 Dubai,24.076913833618164°C,80.69044494628906%
2023-06-27T07:45:00+04:00 Dubai,24.076913833618164°C,83.16472625732422%
2023-06-27T07:50:00+04:00 Dubai,24.076913833618164°C,88.05117797851562%
2023-06-27T07:55:00+04:00 Dubai,24.225589752197266°C,89.32450103759766%
2023-06-27T08:00:00+04:00 Dubai,24.225589752197266°C,91.64207458496094%
2023-06-27T08:05:00+04:00 Dubai,24.225589752197266°C,94.16682434082031%
2023-06-27T08:10:00+04:00 Dubai,24.225589752197266°C,97.30879211425781%
2023-06-27T08:15:00+04:00 Dubai,24.225589752197266°C,93.59017944335938%
2023-06-27T08:20:00+04:00 Dubai,24.225589752197266°C,84.19464874267578%
2023-06-27T08:25:00+04:00 Dubai,24.225589752197266°C,77.0404052734375%
2023-06-27T08:30:00+04:00 Dubai,24.225589752197266°C,74.67072296142578%
2023-06-27T08:35:00+04:00 Dubai,24.225589752197266°C,70.61378479003906%
2023-06-27T08:40:00+04:00 Dubai,24.225589752197266°C,70.61378479003906%
2023-06-27T08:45:00+04:00 Dubai,24.225589752197266°C,64.01937866210938%
2023-06-27T08:50:00+04:00 Dubai,24.225589752197266°C,62.914730072021484%
2023-06-27T08:55:00+04:00 Dubai,24.225589752197266°C,61.76779556274414%
2023-06-27T09:00:00+04:00 Dubai,24.225589752197266°C,59.3917236328125%
2023-06-27T09:05:00+04:00 Dubai,24.225589752197266°C,56.965003967285156%
2023-06-27T09:10:00+04:00 Dubai,24.225589752197266°C,54.705238342285156%
2023-06-27T09:15:00+04:00 Dubai,24.225589752197266°C,53.36225891113281%
2023-06-27T09:20:00+04:00 Dubai,24.225589752197266°C,54.373958587646484%
2023-06-27T09:25:00+04:00 Dubai,24.225589752197266°C,54.373958587646484%
2023-06-27T09:30:00+04:00 Dubai,24.225589752197266°C,54.373958587646484%
2023-06-27T09:35:00+04:00 Dubai,24.225589752197266°C,54.373958587646484%
2023-06-27T09:40:00+04:00 Dubai,24.225589752197266°C,54.373958587646484%
2023-06-27T09:45:00+04:00 Dubai,24.225589752197266°C,54.373958587646484%
2023-06-27T09:50:00+04:00 Dubai,24.225589752197266°C,54.373958587646484%
2023-06-27T09:55:00+04:00 Dubai,24.225589752197266°C,54.373958587646484%
2023-06-27T10:00:00+04:00 Dubai,24.225589752197266°C,54.373958587646484%
2023-06-27T10:05:00+04:00 Dubai,24.225589752197266°C,54.373958587646484%
